,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-20 18:00:00-04:00,80.18,80.18,80.18,80.18,1,1,80.18
2021-06-20 20:45:00-04:00,80.4,80.4,80.4,80.4,1,1,80.4
2021-06-20 23:02:00-04:00,80.33,80.33,80.33,80.33,1,1,80.33
2021-06-20 23:55:00-04:00,80.205,80.205,80.205,80.205,1,1,80.205
2021-06-21 00:05:00-04:00,80.185,80.185,80.185,80.185,1,1,80.185
2021-06-21 00:10:00-04:00,80.2,80.2,80.2,80.2,1,1,80.2
2021-06-21 01:04:00-04:00,80.19,80.19,80.19,80.19,1,1,80.19
2021-06-21 03:23:00-04:00,80.1,80.1,80.1,80.1,5,1,400.5
2021-06-21 05:36:00-04:00,80.44,80.44,80.44,80.44,1,1,80.44
2021-06-21 05:59:00-04:00,80.475,80.475,80.475,80.475,1,1,80.475
2021-06-21 06:12:00-04:00,80.44,80.44,80.44,80.44,2,1,160.88
2021-06-21 08:11:00-04:00,80.54,80.54,80.54,80.54,1,1,80.54
2021-06-21 08:44:00-04:00,80.52,80.52,80.52,80.52,1,1,80.52
2021-06-21 08:45:00-04:00,80.54,80.54,80.54,80.54,1,1,80.54
2021-06-21 09:26:00-04:00,80.67,80.67,80.67,80.67,1,1,80.67
2021-06-21 09:36:00-04:00,80.68,80.68,80.68,80.68,2,1,161.36
2021-06-21 09:57:00-04:00,80.67,80.705,80.67,80.705,21,8,1694.42
2021-06-21 10:29:00-04:00,80.73,80.73,80.73,80.73,1,1,80.73
2021-06-21 11:07:00-04:00,80.755,80.755,80.755,80.755,1,1,80.755
