,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-20 18:00:00-04:00,80.235,80.26,80.205,80.255,184,61,14764.685
2021-06-20 18:01:00-04:00,80.255,80.295,80.255,80.295,79,24,6341.66
2021-06-20 18:02:00-04:00,80.29,80.29,80.29,80.29,17,3,1364.93
2021-06-20 18:03:00-04:00,80.29,80.29,80.265,80.265,63,13,5057.365
2021-06-20 18:04:00-04:00,80.27,80.27,80.27,80.27,3,1,240.81
2021-06-20 18:05:00-04:00,80.27,80.275,80.27,80.275,12,5,963.295
2021-06-20 18:06:00-04:00,80.28,80.29,80.275,80.29,24,6,1926.855
2021-06-20 18:07:00-04:00,80.285,80.33,80.285,80.32,51,19,4095.745
2021-06-20 18:08:00-04:00,80.32,80.33,80.305,80.305,52,13,4176.855
2021-06-20 18:09:00-04:00,80.305,80.32,80.305,80.32,8,4,642.5
2021-06-20 18:10:00-04:00,80.32,80.32,80.315,80.32,32,7,2570.22
2021-06-20 18:11:00-04:00,80.32,80.32,80.32,80.32,4,4,321.28
2021-06-20 18:12:00-04:00,80.32,80.32,80.32,80.32,3,1,240.96
2021-06-20 18:13:00-04:00,80.32,80.32,80.32,80.32,7,2,562.24
2021-06-20 18:14:00-04:00,80.325,80.33,80.315,80.315,30,9,2409.685
2021-06-20 18:15:00-04:00,80.315,80.34,80.315,80.34,42,11,3373.815
2021-06-20 18:16:00-04:00,80.34,80.34,80.33,80.33,37,9,2972.23
2021-06-20 18:17:00-04:00,80.335,80.345,80.335,80.34,20,11,1606.775
2021-06-20 18:18:00-04:00,80.34,80.355,80.34,80.355,44,18,3535.35
2021-06-20 18:19:00-04:00,80.35,80.355,80.35,80.355,31,7,2490.94
2021-06-20 18:20:00-04:00,80.355,80.355,80.35,80.355,8,3,642.835
2021-06-20 18:21:00-04:00,80.355,80.355,80.355,80.355,4,1,321.42
2021-06-20 18:22:00-04:00,80.355,80.355,80.34,80.345,39,12,3133.59
2021-06-20 18:23:00-04:00,80.34,80.355,80.34,80.355,30,10,2410.5
2021-06-20 18:24:00-04:00,80.355,80.355,80.35,80.35,12,3,964.23
2021-06-20 18:25:00-04:00,80.35,80.35,80.345,80.345,37,14,2972.915
2021-06-20 18:26:00-04:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-06-20 18:27:00-04:00,80.345,80.345,80.34,80.345,47,7,3776.195
2021-06-20 18:28:00-04:00,80.34,80.34,80.33,80.33,47,12,3775.925
2021-06-20 18:29:00-04:00,80.335,80.335,80.335,80.335,3,3,241.005
2021-06-20 18:30:00-04:00,80.335,80.335,80.335,80.335,1,1,80.335
2021-06-20 18:31:00-04:00,80.335,80.335,80.325,80.325,13,3,1044.285
2021-06-20 18:32:00-04:00,80.32,80.325,80.32,80.325,4,3,321.295
2021-06-20 18:33:00-04:00,80.32,80.33,80.315,80.33,24,12,1927.705
2021-06-20 18:34:00-04:00,80.33,80.37,80.33,80.365,158,27,12696.165
2021-06-20 18:35:00-04:00,80.365,80.365,80.36,80.36,7,5,562.525
2021-06-20 18:36:00-04:00,80.36,80.365,80.36,80.365,14,4,1125.105
2021-06-20 18:37:00-04:00,80.36,80.36,80.345,80.345,14,9,1124.935
2021-06-20 18:38:00-04:00,80.34,80.36,80.34,80.36,37,9,2972.875
2021-06-20 18:39:00-04:00,80.355,80.355,80.35,80.355,14,5,1124.96
2021-06-20 18:40:00-04:00,80.35,80.35,80.34,80.34,7,5,562.42
2021-06-20 18:41:00-04:00,80.34,80.34,80.34,80.34,3,1,241.02
2021-06-20 18:42:00-04:00,80.34,80.345,80.34,80.345,8,3,642.73
2021-06-20 18:43:00-04:00,80.345,80.355,80.345,80.345,7,5,562.44
2021-06-20 18:44:00-04:00,80.345,80.35,80.34,80.345,40,10,3213.815
2021-06-20 18:45:00-04:00,80.345,80.345,80.34,80.34,16,6,1285.51
2021-06-20 18:46:00-04:00,80.35,80.35,80.345,80.345,28,5,2249.7
2021-06-20 18:47:00-04:00,80.35,80.36,80.35,80.36,28,7,2249.845
2021-06-20 18:48:00-04:00,80.355,80.355,80.35,80.35,24,5,1928.49
2021-06-20 18:50:00-04:00,80.35,80.35,80.345,80.345,86,9,6909.859
2021-06-20 18:51:00-04:00,80.345,80.345,80.335,80.335,20,6,1606.755
2021-06-20 18:52:00-04:00,80.335,80.345,80.33,80.345,26,10,2088.765
2021-06-20 18:53:00-04:00,80.35,80.365,80.35,80.36,20,8,1607.18
2021-06-20 18:54:00-04:00,80.365,80.375,80.365,80.37,10,4,803.715
2021-06-20 18:55:00-04:00,80.38,80.38,80.375,80.375,13,7,1044.88
2021-06-20 18:57:00-04:00,80.375,80.375,80.375,80.375,2,1,160.75
2021-06-20 18:58:00-04:00,80.36,80.36,80.355,80.355,5,3,401.785
2021-06-20 18:59:00-04:00,80.35,80.35,80.35,80.35,21,8,1687.35
2021-06-20 19:00:00-04:00,80.355,80.37,80.355,80.365,12,5,964.295
2021-06-20 19:01:00-04:00,80.37,80.37,80.36,80.36,19,8,1526.975
2021-06-20 19:02:00-04:00,80.35,80.35,80.35,80.35,4,2,321.4
2021-06-20 19:03:00-04:00,80.345,80.345,80.34,80.34,17,6,1365.805
2021-06-20 19:04:00-04:00,80.335,80.335,80.335,80.335,4,3,321.34
2021-06-20 19:05:00-04:00,80.34,80.34,80.335,80.335,14,4,1124.715
2021-06-20 19:06:00-04:00,80.335,80.335,80.33,80.33,13,4,1044.33
2021-06-20 19:07:00-04:00,80.335,80.335,80.335,80.335,5,4,401.675
2021-06-20 19:09:00-04:00,80.33,80.33,80.325,80.325,16,5,1285.24
2021-06-20 19:10:00-04:00,80.325,80.325,80.325,80.325,16,1,1285.2
2021-06-20 19:11:00-04:00,80.34,80.345,80.34,80.345,13,8,1044.475
2021-06-20 19:13:00-04:00,80.345,80.345,80.34,80.34,2,2,160.685
2021-06-20 19:14:00-04:00,80.34,80.34,80.34,80.34,1,1,80.34
2021-06-20 19:15:00-04:00,80.335,80.35,80.335,80.35,21,5,1687.18
2021-06-20 19:16:00-04:00,80.355,80.355,80.355,80.355,4,3,321.42
2021-06-20 19:17:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-06-20 19:18:00-04:00,80.355,80.355,80.35,80.35,7,5,562.455
2021-06-20 19:19:00-04:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-06-20 19:20:00-04:00,80.345,80.345,80.345,80.345,3,2,241.035
2021-06-20 19:22:00-04:00,80.34,80.34,80.34,80.34,2,1,160.68
2021-06-20 19:23:00-04:00,80.34,80.34,80.34,80.34,2,1,160.68
2021-06-20 19:24:00-04:00,80.345,80.345,80.345,80.345,1,1,80.345
2021-06-20 19:25:00-04:00,80.345,80.35,80.345,80.35,5,4,401.73
2021-06-20 19:26:00-04:00,80.355,80.36,80.355,80.36,16,4,1285.705
2021-06-20 19:27:00-04:00,80.36,80.365,80.36,80.36,10,4,803.625
2021-06-20 19:28:00-04:00,80.36,80.36,80.355,80.355,3,3,241.075
2021-06-20 19:30:00-04:00,80.355,80.355,80.35,80.355,4,4,321.415
2021-06-20 19:31:00-04:00,80.365,80.365,80.365,80.365,5,1,401.825
2021-06-20 19:32:00-04:00,80.365,80.365,80.36,80.36,5,2,401.815
2021-06-20 19:34:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-06-20 19:35:00-04:00,80.355,80.355,80.355,80.355,5,2,401.775
2021-06-20 19:36:00-04:00,80.36,80.36,80.35,80.35,4,2,321.41
2021-06-20 19:37:00-04:00,80.345,80.345,80.345,80.345,5,1,401.725
2021-06-20 19:38:00-04:00,80.34,80.34,80.33,80.33,18,13,1446.08
2021-06-20 19:39:00-04:00,80.34,80.345,80.34,80.345,7,3,562.4
2021-06-20 19:40:00-04:00,80.34,80.34,80.335,80.335,11,4,883.725
2021-06-20 19:41:00-04:00,80.33,80.33,80.325,80.325,20,3,1606.515
2021-06-20 19:42:00-04:00,80.325,80.33,80.32,80.33,20,9,1606.48
2021-06-20 19:44:00-04:00,80.345,80.345,80.34,80.34,6,4,482.06
2021-06-20 19:45:00-04:00,80.335,80.34,80.335,80.335,7,5,562.35
2021-06-20 19:46:00-04:00,80.34,80.34,80.34,80.34,3,2,241.02
2021-06-20 19:47:00-04:00,80.335,80.335,80.335,80.335,8,5,642.68
2021-06-20 19:48:00-04:00,80.33,80.33,80.325,80.325,6,4,481.96
2021-06-20 19:49:00-04:00,80.325,80.33,80.325,80.33,4,3,321.315
2021-06-20 19:50:00-04:00,80.33,80.335,80.33,80.335,12,4,963.995
2021-06-20 19:53:00-04:00,80.345,80.345,80.34,80.34,9,6,723.08
2021-06-20 19:54:00-04:00,80.34,80.34,80.34,80.34,1,1,80.34
2021-06-20 19:55:00-04:00,80.345,80.345,80.345,80.345,2,1,160.69
2021-06-20 19:57:00-04:00,80.34,80.34,80.34,80.34,5,2,401.7
2021-06-20 19:58:00-04:00,80.34,80.34,80.325,80.325,12,8,963.955
2021-06-20 19:59:00-04:00,80.32,80.32,80.31,80.31,6,3,481.89
2021-06-20 20:00:00-04:00,80.315,80.315,80.295,80.3,78,22,6263.615
2021-06-20 20:01:00-04:00,80.3,80.335,80.3,80.33,136,37,10923.261
2021-06-20 20:02:00-04:00,80.325,80.34,80.325,80.335,30,17,2409.935
2021-06-20 20:03:00-04:00,80.33,80.34,80.32,80.325,109,26,8756.145
2021-06-20 20:04:00-04:00,80.325,80.33,80.325,80.33,2,2,160.655
2021-06-20 20:05:00-04:00,80.33,80.345,80.33,80.345,24,5,1928.075
2021-06-20 20:06:00-04:00,80.345,80.345,80.335,80.335,9,5,723.07
2021-06-20 20:07:00-04:00,80.335,80.36,80.335,80.355,140,39,11249.059
2021-06-20 20:09:00-04:00,80.36,80.37,80.36,80.37,35,9,2812.92
2021-06-20 20:10:00-04:00,80.36,80.37,80.36,80.37,8,5,642.94
2021-06-20 20:11:00-04:00,80.375,80.38,80.375,80.38,8,4,643.005
2021-06-20 20:12:00-04:00,80.375,80.375,80.37,80.37,9,6,723.35
2021-06-20 20:13:00-04:00,80.365,80.375,80.365,80.375,7,3,562.58
2021-06-20 20:14:00-04:00,80.38,80.38,80.36,80.37,17,10,1366.315
2021-06-20 20:15:00-04:00,80.37,80.375,80.37,80.375,7,4,562.61
2021-06-20 20:16:00-04:00,80.375,80.395,80.375,80.39,24,14,1929.14
2021-06-20 20:17:00-04:00,80.38,80.385,80.38,80.385,11,6,884.2
2021-06-20 20:18:00-04:00,80.385,80.385,80.385,80.385,1,1,80.385
2021-06-20 20:19:00-04:00,80.385,80.385,80.385,80.385,10,4,803.85
2021-06-20 20:20:00-04:00,80.39,80.395,80.385,80.395,30,10,2411.7
2021-06-20 20:21:00-04:00,80.385,80.385,80.37,80.37,8,6,643.04
2021-06-20 20:22:00-04:00,80.375,80.38,80.37,80.37,12,8,964.5
2021-06-20 20:23:00-04:00,80.365,80.375,80.365,80.375,26,7,2089.615
2021-06-20 20:24:00-04:00,80.37,80.375,80.37,80.375,6,3,482.235
2021-06-20 20:25:00-04:00,80.385,80.385,80.385,80.385,5,4,401.925
2021-06-20 20:26:00-04:00,80.385,80.385,80.385,80.385,2,2,160.77
2021-06-20 20:27:00-04:00,80.375,80.375,80.37,80.375,7,5,562.605
2021-06-20 20:28:00-04:00,80.375,80.375,80.37,80.37,5,2,401.86
2021-06-20 20:29:00-04:00,80.37,80.37,80.365,80.365,5,4,401.84
2021-06-20 20:30:00-04:00,80.365,80.365,80.365,80.365,52,13,4178.98
2021-06-20 20:31:00-04:00,80.365,80.37,80.365,80.37,10,5,803.695
2021-06-20 20:32:00-04:00,80.375,80.375,80.37,80.37,13,7,1044.82
2021-06-20 20:33:00-04:00,80.37,80.39,80.37,80.39,42,15,3375.72
2021-06-20 20:34:00-04:00,80.39,80.395,80.39,80.39,50,11,4019.65
2021-06-20 20:35:00-04:00,80.39,80.395,80.39,80.395,3,3,241.18
