,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-12 21:40:00-04:00,1303.5,1303.5,1303.0,1303.0,20,4,26065.75
2021-09-13 06:44:00-04:00,1296.0,1297.0,1296.0,1297.0,3,3,3889.0
2021-09-13 07:14:00-04:00,1295.25,1295.25,1295.25,1295.25,1,1,1295.25
2021-09-13 09:32:00-04:00,1297.0,1297.0,1297.0,1297.0,2,2,2594.0
2021-09-13 09:33:00-04:00,1295.5,1295.5,1295.5,1295.5,2,1,2591.0
2021-09-13 09:49:00-04:00,1295.0,1295.0,1295.0,1295.0,1,1,1295.0
2021-09-13 09:55:00-04:00,1295.0,1295.0,1295.0,1295.0,9,5,11655.0
2021-09-13 10:26:00-04:00,1294.5,1294.5,1294.5,1294.5,1,1,1294.5
2021-09-13 10:34:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-13 10:45:00-04:00,1298.5,1298.5,1298.5,1298.5,5,5,6492.5
2021-09-13 10:50:00-04:00,1297.75,1297.75,1297.75,1297.75,4,3,5191.0
2021-09-13 11:25:00-04:00,1298.25,1298.25,1298.25,1298.25,1,1,1298.25
2021-09-13 11:28:00-04:00,1300.0,1300.0,1300.0,1300.0,1,1,1300.0
2021-09-13 11:49:00-04:00,1299.0,1299.0,1299.0,1299.0,1,1,1299.0
2021-09-13 12:37:00-04:00,1300.0,1300.0,1300.0,1300.0,1,1,1300.0
2021-09-13 13:12:00-04:00,1298.5,1298.5,1298.5,1298.5,1,1,1298.5
2021-09-13 13:15:00-04:00,1297.0,1297.0,1297.0,1297.0,1,1,1297.0
