,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-08-29 20:00:00-04:00,1335.0,1336.0,1335.0,1336.0,6,6,8014.75
2021-08-29 20:06:00-04:00,1335.25,1335.25,1335.25,1335.25,1,1,1335.25
2021-08-29 20:10:00-04:00,1337.75,1337.75,1337.75,1337.75,1,1,1337.75
2021-08-29 20:11:00-04:00,1336.25,1336.25,1336.25,1336.25,1,1,1336.25
2021-08-29 20:14:00-04:00,1335.75,1335.75,1335.75,1335.75,1,1,1335.75
2021-08-29 21:03:00-04:00,1339.75,1342.0,1339.75,1342.0,3,2,4021.5
2021-08-29 21:05:00-04:00,1342.0,1342.0,1342.0,1342.0,5,2,6710.0
2021-08-29 21:06:00-04:00,1342.25,1343.0,1342.25,1343.0,21,7,28195.5
2021-08-29 21:35:00-04:00,1343.5,1343.5,1343.5,1343.5,2,2,2687.0
2021-08-29 21:42:00-04:00,1343.5,1343.5,1343.5,1343.5,1,1,1343.5
2021-08-29 22:45:00-04:00,1339.0,1339.0,1339.0,1339.0,4,2,5356.0
2021-08-29 22:50:00-04:00,1339.25,1339.25,1339.25,1339.25,1,1,1339.25
2021-08-29 22:58:00-04:00,1337.75,1337.75,1337.75,1337.75,3,1,4013.25
2021-08-29 23:10:00-04:00,1336.75,1336.75,1336.75,1336.75,1,1,1336.75
2021-08-30 00:35:00-04:00,1335.0,1335.0,1335.0,1335.0,1,1,1335.0
2021-08-30 02:13:00-04:00,1331.5,1331.5,1331.5,1331.5,2,1,2663.0
2021-08-30 02:23:00-04:00,1332.25,1332.25,1332.25,1332.25,1,1,1332.25
2021-08-30 02:26:00-04:00,1332.5,1332.5,1332.5,1332.5,1,1,1332.5
2021-08-30 02:30:00-04:00,1331.25,1331.25,1331.25,1331.25,1,1,1331.25
2021-08-30 02:38:00-04:00,1330.25,1330.25,1330.25,1330.25,1,1,1330.25
2021-08-30 02:56:00-04:00,1329.25,1329.25,1329.25,1329.25,2,1,2658.5
2021-08-30 03:03:00-04:00,1330.75,1330.75,1330.75,1330.75,1,1,1330.75
2021-08-30 03:07:00-04:00,1329.5,1329.5,1329.5,1329.5,2,1,2659.0
