,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-22 18:02:00-04:00,81.255,81.255,81.255,81.255,1,1,81.255
2021-06-22 19:12:00-04:00,81.245,81.245,81.245,81.245,1,1,81.245
2021-06-22 19:57:00-04:00,81.23,81.23,81.23,81.23,1,1,81.23
2021-06-22 23:15:00-04:00,81.165,81.165,81.165,81.165,1,1,81.165
2021-06-23 03:12:00-04:00,81.22,81.22,81.22,81.22,1,1,81.22
2021-06-23 03:35:00-04:00,81.255,81.255,81.255,81.255,1,1,81.255
2021-06-23 03:55:00-04:00,81.29,81.29,81.29,81.29,1,1,81.29
2021-06-23 03:56:00-04:00,81.3,81.3,81.3,81.3,1,1,81.3
2021-06-23 04:00:00-04:00,81.315,81.315,81.315,81.315,1,1,81.315
2021-06-23 04:01:00-04:00,81.345,81.345,81.345,81.345,1,1,81.345
2021-06-23 06:15:00-04:00,81.35,81.35,81.35,81.35,1,1,81.35
2021-06-23 06:51:00-04:00,81.375,81.38,81.375,81.38,2,2,162.755
2021-06-23 08:36:00-04:00,81.44,81.44,81.44,81.44,1,1,81.44
2021-06-23 08:40:00-04:00,81.47,81.47,81.47,81.47,1,1,81.47
2021-06-23 08:50:00-04:00,81.52,81.52,81.52,81.52,1,1,81.52
2021-06-23 09:00:00-04:00,81.465,81.465,81.465,81.465,1,1,81.465
2021-06-23 09:39:00-04:00,81.545,81.545,81.545,81.545,1,1,81.545
2021-06-23 10:40:00-04:00,81.4,81.4,81.4,81.4,4,1,325.6
2021-06-23 11:23:00-04:00,81.37,81.37,81.37,81.37,2,1,162.74
2021-06-23 11:28:00-04:00,81.365,81.365,81.365,81.365,1,1,81.365
2021-06-23 11:31:00-04:00,81.34,81.34,81.34,81.34,1,1,81.34
2021-06-23 14:52:00-04:00,81.29,81.29,81.29,81.29,1,1,81.29
