,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-02 09:26:00-04:00,80.635,80.635,80.635,80.635,1,1,80.635
2021-11-02 09:53:00-04:00,80.655,80.655,80.655,80.655,1,1,80.655
2021-11-02 10:02:00-04:00,80.63,80.63,80.63,80.63,1,1,80.63
2021-11-02 10:05:00-04:00,80.645,80.645,80.645,80.645,1,1,80.645
2021-11-02 10:25:00-04:00,80.635,80.635,80.63,80.63,10,2,806.34
2021-11-02 10:47:00-04:00,80.64,80.64,80.64,80.64,5,1,403.2
2021-11-02 10:54:00-04:00,80.635,80.635,80.635,80.635,1,1,80.635
2021-11-02 10:58:00-04:00,80.62,80.62,80.62,80.62,1,1,80.62
2021-11-02 11:04:00-04:00,80.675,80.675,80.675,80.675,1,1,80.675
2021-11-02 11:19:00-04:00,80.705,80.705,80.705,80.705,2,1,161.41
2021-11-02 11:21:00-04:00,80.695,80.695,80.695,80.695,1,1,80.695
2021-11-02 11:57:00-04:00,80.52,80.52,80.52,80.52,1,1,80.52
2021-11-02 12:17:00-04:00,80.55,80.55,80.55,80.55,1,1,80.55
2021-11-02 12:59:00-04:00,80.53,80.53,80.53,80.53,1,1,80.53
2021-11-02 13:07:00-04:00,80.565,80.565,80.565,80.565,1,1,80.565
2021-11-02 14:14:00-04:00,80.605,80.605,80.605,80.605,1,1,80.605
