,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-02 01:42:00-04:00,80.75,80.75,80.75,80.75,1,1,80.75
2021-11-02 08:01:00-04:00,80.635,80.635,80.635,80.635,1,1,80.635
2021-11-02 12:11:00-04:00,80.545,80.545,80.545,80.545,1,1,80.545
2021-11-02 13:07:00-04:00,80.585,80.585,80.585,80.585,1,1,80.585
