,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-01 09:46:00-04:00,80.785,80.785,80.785,80.785,1,1,80.785
2021-11-01 10:04:00-04:00,80.68,80.68,80.68,80.68,2,1,161.36
2021-11-01 10:10:00-04:00,80.725,80.725,80.725,80.725,1,1,80.725
2021-11-01 10:46:00-04:00,80.92,80.92,80.92,80.92,3,2,242.76
2021-11-01 11:33:00-04:00,80.94,80.94,80.94,80.94,1,1,80.94
2021-11-01 11:46:00-04:00,80.945,80.945,80.945,80.945,1,1,80.945
2021-11-01 11:59:00-04:00,80.94,80.94,80.94,80.94,2,1,161.88
2021-11-01 12:14:00-04:00,80.915,80.915,80.915,80.915,1,1,80.915
2021-11-01 12:54:00-04:00,80.94,80.94,80.94,80.94,1,1,80.94
2021-11-01 12:58:00-04:00,80.915,80.915,80.915,80.915,1,1,80.915
2021-11-01 13:00:00-04:00,80.92,80.92,80.92,80.92,1,1,80.92
2021-11-01 13:02:00-04:00,80.915,80.915,80.915,80.915,1,1,80.915
2021-11-01 13:06:00-04:00,80.92,80.92,80.92,80.92,1,1,80.92
2021-11-01 13:12:00-04:00,80.93,80.93,80.93,80.93,1,1,80.93
2021-11-01 13:32:00-04:00,80.89,80.9,80.89,80.9,2,2,161.79
2021-11-01 13:45:00-04:00,80.855,80.855,80.855,80.855,1,1,80.855
