,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-01 08:26:00-04:00,80.785,80.785,80.785,80.785,1,1,80.785
2021-11-01 10:56:00-04:00,80.905,80.905,80.905,80.905,1,1,80.905
2021-11-01 11:54:00-04:00,80.955,80.955,80.955,80.955,1,1,80.955
