,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-23 20:00:00-04:00,1345.25,1346.0,1342.25,1344.5,103,49,138490.0
2021-06-23 20:01:00-04:00,1342.75,1342.75,1342.75,1342.75,4,3,5371.0
2021-06-23 20:03:00-04:00,1343.75,1343.75,1343.5,1343.5,4,4,5374.75
2021-06-23 20:04:00-04:00,1342.75,1342.75,1342.75,1342.75,2,1,2685.5
2021-06-23 20:05:00-04:00,1344.0,1344.0,1344.0,1344.0,4,1,5376.0
2021-06-23 20:07:00-04:00,1344.5,1344.5,1344.5,1344.5,2,1,2689.0
2021-06-23 20:10:00-04:00,1343.5,1343.5,1343.5,1343.5,2,2,2687.0
2021-06-23 20:11:00-04:00,1342.75,1342.75,1342.75,1342.75,6,4,8056.5
2021-06-23 20:12:00-04:00,1342.5,1342.5,1342.25,1342.25,4,3,5369.5
2021-06-23 20:13:00-04:00,1342.0,1342.25,1342.0,1342.0,6,5,8052.25
2021-06-23 20:14:00-04:00,1341.0,1341.0,1339.5,1340.75,38,17,50936.0
2021-06-23 20:15:00-04:00,1339.25,1339.75,1339.25,1339.5,12,5,16075.75
2021-06-23 20:17:00-04:00,1340.5,1340.5,1340.0,1340.0,7,7,9382.25
2021-06-23 20:18:00-04:00,1340.75,1341.0,1340.25,1340.25,7,7,9385.0
2021-06-23 20:19:00-04:00,1340.75,1340.75,1340.75,1340.75,1,1,1340.75
2021-06-23 20:23:00-04:00,1340.5,1340.75,1340.5,1340.75,8,2,10724.5
2021-06-23 20:28:00-04:00,1340.5,1340.5,1340.0,1340.0,4,4,5361.0
2021-06-23 20:31:00-04:00,1339.75,1339.75,1339.75,1339.75,1,1,1339.75
2021-06-23 20:32:00-04:00,1339.5,1339.5,1339.5,1339.5,1,1,1339.5
2021-06-23 20:33:00-04:00,1340.0,1340.25,1340.0,1340.25,3,2,4020.5
2021-06-23 20:38:00-04:00,1340.0,1340.0,1340.0,1340.0,6,1,8040.0
2021-06-23 20:39:00-04:00,1339.5,1340.25,1339.5,1339.5,3,3,4019.25
