,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-25 20:00:00-04:00,1269.0,1269.0,1269.0,1269.0,23,2,29187.0
2021-10-25 20:02:00-04:00,1268.5,1268.5,1268.5,1268.5,3,3,3805.5
2021-10-25 20:41:00-04:00,1268.75,1268.75,1268.75,1268.75,1,1,1268.75
2021-10-25 20:46:00-04:00,1269.25,1269.25,1269.25,1269.25,1,1,1269.25
2021-10-25 21:02:00-04:00,1270.25,1270.25,1270.25,1270.25,3,1,3810.75
2021-10-25 21:08:00-04:00,1270.0,1270.0,1270.0,1270.0,1,1,1270.0
2021-10-25 21:16:00-04:00,1270.25,1270.25,1270.25,1270.25,2,1,2540.5
2021-10-25 21:21:00-04:00,1270.25,1270.25,1270.25,1270.25,2,2,2540.5
2021-10-25 21:43:00-04:00,1267.25,1267.25,1267.25,1267.25,1,1,1267.25
2021-10-26 00:30:00-04:00,1269.5,1269.5,1269.5,1269.5,2,1,2539.0
2021-10-26 00:31:00-04:00,1269.75,1269.75,1269.75,1269.75,3,1,3809.25
2021-10-26 01:38:00-04:00,1268.0,1268.0,1268.0,1268.0,3,1,3804.0
2021-10-26 02:45:00-04:00,1269.0,1269.0,1269.0,1269.0,1,1,1269.0
2021-10-26 03:21:00-04:00,1269.25,1269.25,1269.25,1269.25,1,1,1269.25
2021-10-26 03:27:00-04:00,1269.25,1269.25,1269.25,1269.25,1,1,1269.25
2021-10-26 03:36:00-04:00,1268.5,1268.5,1268.5,1268.5,2,1,2537.0
2021-10-26 04:17:00-04:00,1270.0,1270.0,1270.0,1270.0,1,1,1270.0
2021-10-26 04:35:00-04:00,1268.5,1268.5,1268.5,1268.5,25,2,31712.5
2021-10-26 05:13:00-04:00,1267.25,1267.25,1267.25,1267.25,1,1,1267.25
2021-10-26 05:14:00-04:00,1267.25,1267.25,1267.25,1267.25,2,1,2534.5
2021-10-26 07:39:00-04:00,1266.0,1266.0,1266.0,1266.0,5,1,6330.0
2021-10-26 07:40:00-04:00,1266.75,1266.75,1266.75,1266.75,1,1,1266.75
2021-10-26 07:43:00-04:00,1265.75,1265.75,1265.5,1265.75,9,5,11391.0
2021-10-26 07:44:00-04:00,1266.25,1266.25,1266.25,1266.25,1,1,1266.25
2021-10-26 07:45:00-04:00,1266.5,1266.5,1266.5,1266.5,1,1,1266.5
2021-10-26 07:46:00-04:00,1266.0,1266.0,1266.0,1266.0,2,1,2532.0
2021-10-26 07:47:00-04:00,1266.25,1266.25,1265.75,1266.25,6,4,7596.25
2021-10-26 07:55:00-04:00,1267.0,1267.0,1267.0,1267.0,3,1,3801.0
2021-10-26 08:24:00-04:00,1268.75,1268.75,1268.75,1268.75,1,1,1268.75
2021-10-26 08:36:00-04:00,1268.75,1268.75,1268.75,1268.75,3,1,3806.25
2021-10-26 08:42:00-04:00,1267.75,1267.75,1267.75,1267.75,1,1,1267.75
2021-10-26 08:44:00-04:00,1267.5,1267.5,1267.5,1267.5,2,2,2535.0
2021-10-26 09:29:00-04:00,1267.75,1267.75,1267.75,1267.75,1,1,1267.75
2021-10-26 09:30:00-04:00,1266.5,1266.5,1264.75,1265.0,49,17,62006.75
2021-10-26 09:31:00-04:00,1265.0,1265.0,1264.0,1264.75,12,12,15174.0
