,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-27 00:12:00-04:00,82.5,82.5,82.5,82.5,1,1,82.5
2021-05-27 05:45:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-05-27 07:02:00-04:00,82.68,82.68,82.68,82.68,1,1,82.68
2021-05-27 08:15:00-04:00,82.725,82.725,82.725,82.725,1,1,82.725
2021-05-27 09:15:00-04:00,82.8,82.8,82.8,82.8,3,1,248.4
2021-05-27 09:39:00-04:00,82.83,82.83,82.83,82.83,1,1,82.83
2021-05-27 10:17:00-04:00,82.9,82.9,82.9,82.9,4,1,331.6
2021-05-27 10:25:00-04:00,82.91,82.91,82.91,82.91,1,1,82.91
2021-05-27 11:15:00-04:00,82.82,82.82,82.82,82.82,1,1,82.82
2021-05-27 11:30:00-04:00,82.74,82.74,82.74,82.74,1,1,82.74
2021-05-27 11:32:00-04:00,82.76,82.76,82.76,82.76,1,1,82.76
2021-05-27 13:46:00-04:00,82.865,82.865,82.865,82.865,1,1,82.865
2021-05-27 14:49:00-04:00,82.86,82.86,82.86,82.86,2,1,165.72
