,ESH24 Index,ESH24 Index,ESH24 Index,ESH24 Index,ESH24 Index,ESH24 Index,ESH24 Index
,open,high,low,close,volume,num_trds,value
2021-09-06 12:32:00-04:00,100.51,100.51,100.51,100.51,10,2,1005.1
2021-09-06 12:43:00-04:00,100.51,100.51,100.51,100.51,10,1,1005.1
2021-09-06 12:50:00-04:00,100.51,100.51,100.51,100.51,6,3,603.06
2021-09-06 12:51:00-04:00,100.51,100.51,100.51,100.51,1,1,100.51
2021-09-06 12:52:00-04:00,100.51,100.51,100.51,100.51,1,1,100.51
2021-09-06 12:59:00-04:00,100.51,100.51,100.51,100.51,1,1,100.51
