,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-03 03:47:00-04:00,82.9,82.9,82.9,82.9,1,1,82.9
2021-06-03 08:59:00-04:00,82.7,82.7,82.7,82.7,5,1,413.5
2021-06-03 09:24:00-04:00,82.71,82.71,82.71,82.71,2,1,165.42
2021-06-03 10:13:00-04:00,82.67,82.67,82.67,82.67,1,1,82.67
2021-06-03 10:57:00-04:00,82.56,82.56,82.56,82.56,1,1,82.56
2021-06-03 11:09:00-04:00,82.62,82.62,82.62,82.62,1,1,82.62
2021-06-03 11:39:00-04:00,82.55,82.555,82.55,82.555,5,5,412.76
2021-06-03 11:40:00-04:00,82.565,82.565,82.56,82.56,4,4,330.245
2021-06-03 11:41:00-04:00,82.56,82.56,82.56,82.56,1,1,82.56
2021-06-03 11:42:00-04:00,82.555,82.555,82.555,82.555,1,1,82.555
2021-06-03 11:43:00-04:00,82.56,82.57,82.56,82.57,4,4,330.265
2021-06-03 11:53:00-04:00,82.51,82.51,82.51,82.51,1,1,82.51
2021-06-03 12:01:00-04:00,82.52,82.52,82.52,82.52,1,1,82.52
2021-06-03 12:04:00-04:00,82.55,82.55,82.55,82.55,1,1,82.55
2021-06-03 12:39:00-04:00,82.575,82.575,82.575,82.575,1,1,82.575
2021-06-03 12:48:00-04:00,82.595,82.6,82.595,82.6,2,2,165.195
2021-06-03 12:53:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-06-03 13:00:00-04:00,82.56,82.56,82.56,82.56,1,1,82.56
2021-06-03 13:02:00-04:00,82.56,82.56,82.56,82.56,1,1,82.56
2021-06-03 13:09:00-04:00,82.55,82.55,82.55,82.55,1,1,82.55
