,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-19 20:38:00-04:00,78.335,78.335,78.335,78.335,1,1,78.335
2021-09-19 21:19:00-04:00,78.26,78.26,78.26,78.26,1,1,78.26
2021-09-20 01:31:00-04:00,78.18,78.18,78.18,78.18,1,1,78.18
2021-09-20 02:24:00-04:00,78.095,78.095,78.095,78.095,1,1,78.095
2021-09-20 02:30:00-04:00,78.1,78.1,78.1,78.1,1,1,78.1
2021-09-20 03:41:00-04:00,78.135,78.135,78.135,78.135,1,1,78.135
2021-09-20 03:46:00-04:00,78.16,78.16,78.16,78.16,1,1,78.16
2021-09-20 05:22:00-04:00,78.0,78.0,78.0,78.0,2,1,156.0
2021-09-20 05:27:00-04:00,77.97,77.97,77.97,77.97,1,1,77.97
2021-09-20 05:29:00-04:00,77.965,77.965,77.965,77.965,4,1,311.86
2021-09-20 05:40:00-04:00,77.93,77.93,77.93,77.93,3,1,233.79
2021-09-20 05:52:00-04:00,77.9,77.9,77.9,77.9,1,1,77.9
2021-09-20 07:18:00-04:00,77.89,77.89,77.89,77.89,1,1,77.89
2021-09-20 07:41:00-04:00,77.82,77.82,77.8,77.8,5,3,389.02
2021-09-20 08:32:00-04:00,77.655,77.655,77.655,77.655,3,1,232.965
2021-09-20 08:38:00-04:00,77.66,77.66,77.66,77.66,2,1,155.32
2021-09-20 08:49:00-04:00,77.84,77.84,77.84,77.84,2,1,155.68
2021-09-20 09:15:00-04:00,77.9,77.9,77.9,77.9,10,2,779.0
2021-09-20 09:40:00-04:00,77.96,77.96,77.96,77.96,1,1,77.96
2021-09-20 09:42:00-04:00,78.0,78.0,78.0,78.0,1,1,78.0
2021-09-20 09:44:00-04:00,78.03,78.03,78.03,78.03,2,2,156.06
2021-09-20 09:45:00-04:00,78.02,78.025,78.02,78.025,4,4,312.095
2021-09-20 10:35:00-04:00,78.01,78.01,78.01,78.01,2,1,156.02
2021-09-20 10:40:00-04:00,78.085,78.085,78.085,78.085,1,1,78.085
2021-09-20 10:47:00-04:00,78.11,78.11,78.11,78.11,1,1,78.11
2021-09-20 10:59:00-04:00,78.02,78.02,78.02,78.02,1,1,78.02
2021-09-20 11:18:00-04:00,78.105,78.105,78.1,78.1,5,2,390.51
2021-09-20 11:52:00-04:00,77.985,77.985,77.985,77.985,1,1,77.985
2021-09-20 12:44:00-04:00,77.91,77.91,77.91,77.91,1,1,77.91
2021-09-20 13:47:00-04:00,77.995,77.995,77.995,77.995,1,1,77.995
2021-09-20 14:06:00-04:00,77.985,77.985,77.985,77.985,1,1,77.985
2021-09-20 14:30:00-04:00,77.94,77.94,77.94,77.94,1,1,77.94
2021-09-20 15:47:00-04:00,78.005,78.005,78.005,78.005,1,1,78.005
