,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-19 18:00:00-04:00,78.345,78.345,78.33,78.34,149,47,11672.81
2021-09-19 18:01:00-04:00,78.34,78.345,78.325,78.325,50,19,3916.775
2021-09-19 18:02:00-04:00,78.325,78.33,78.32,78.325,34,12,2663.14
2021-09-19 18:03:00-04:00,78.32,78.33,78.32,78.32,19,12,1488.13
2021-09-19 18:04:00-04:00,78.32,78.325,78.32,78.325,9,5,704.905
2021-09-19 18:05:00-04:00,78.33,78.33,78.32,78.32,14,3,1096.49
2021-09-19 18:06:00-04:00,78.325,78.335,78.325,78.33,26,8,2036.48
2021-09-19 18:07:00-04:00,78.32,78.32,78.32,78.32,6,1,469.92
2021-09-19 18:08:00-04:00,78.315,78.315,78.315,78.315,6,2,469.89
2021-09-19 18:10:00-04:00,78.315,78.32,78.315,78.315,3,3,234.95
2021-09-19 18:11:00-04:00,78.315,78.315,78.3,78.3,12,7,939.715
2021-09-19 18:12:00-04:00,78.3,78.3,78.295,78.295,16,5,1252.725
2021-09-19 18:13:00-04:00,78.295,78.295,78.285,78.29,35,16,2740.125
2021-09-19 18:14:00-04:00,78.29,78.295,78.29,78.29,7,6,548.035
2021-09-19 18:15:00-04:00,78.285,78.29,78.28,78.28,72,9,5636.51
2021-09-19 18:16:00-04:00,78.275,78.275,78.275,78.275,24,8,1878.6
2021-09-19 18:17:00-04:00,78.27,78.27,78.265,78.27,22,5,1721.92
2021-09-19 18:18:00-04:00,78.27,78.27,78.27,78.27,7,5,547.89
2021-09-19 18:19:00-04:00,78.27,78.275,78.27,78.275,24,4,1878.515
2021-09-19 18:20:00-04:00,78.275,78.275,78.27,78.27,3,3,234.815
2021-09-19 18:21:00-04:00,78.275,78.275,78.275,78.275,4,4,313.1
2021-09-19 18:23:00-04:00,78.265,78.27,78.265,78.27,16,5,1252.255
2021-09-19 18:24:00-04:00,78.275,78.275,78.275,78.275,7,4,547.925
2021-09-19 18:25:00-04:00,78.27,78.27,78.265,78.265,6,3,469.61
2021-09-19 18:26:00-04:00,78.27,78.27,78.265,78.27,26,5,2035.0
2021-09-19 18:27:00-04:00,78.27,78.27,78.27,78.27,22,1,1721.94
2021-09-19 18:28:00-04:00,78.275,78.275,78.275,78.275,15,1,1174.125
2021-09-19 18:29:00-04:00,78.27,78.27,78.27,78.27,6,2,469.62
2021-09-19 18:30:00-04:00,78.27,78.275,78.27,78.27,21,8,1643.68
2021-09-19 18:31:00-04:00,78.27,78.27,78.245,78.245,44,11,3443.26
2021-09-19 18:32:00-04:00,78.255,78.255,78.255,78.255,12,2,939.06
2021-09-19 18:33:00-04:00,78.255,78.255,78.25,78.25,3,3,234.755
2021-09-19 18:34:00-04:00,78.25,78.275,78.25,78.27,74,15,5791.954
2021-09-19 18:35:00-04:00,78.275,78.275,78.275,78.275,1,1,78.275
2021-09-19 18:36:00-04:00,78.27,78.275,78.27,78.275,3,2,234.82
2021-09-19 18:38:00-04:00,78.275,78.275,78.275,78.275,21,6,1643.775
2021-09-19 18:39:00-04:00,78.275,78.275,78.27,78.27,15,7,1174.065
2021-09-19 18:41:00-04:00,78.27,78.27,78.27,78.27,6,3,469.62
2021-09-19 18:42:00-04:00,78.275,78.275,78.27,78.27,14,2,1095.845
2021-09-19 18:43:00-04:00,78.27,78.27,78.265,78.265,7,3,547.875
2021-09-19 18:45:00-04:00,78.27,78.27,78.27,78.27,2,2,156.54
2021-09-19 18:46:00-04:00,78.27,78.27,78.27,78.27,7,1,547.89
2021-09-19 18:47:00-04:00,78.275,78.28,78.275,78.275,25,5,1956.905
2021-09-19 18:48:00-04:00,78.27,78.27,78.27,78.27,3,3,234.81
2021-09-19 18:49:00-04:00,78.27,78.27,78.27,78.27,17,7,1330.59
2021-09-19 18:50:00-04:00,78.275,78.275,78.275,78.275,27,4,2113.425
2021-09-19 18:52:00-04:00,78.27,78.27,78.255,78.265,106,16,8295.62
