,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-20 02:49:00-04:00,78.05,78.05,78.05,78.05,1,1,78.05
2021-09-20 05:26:00-04:00,77.975,77.975,77.975,77.975,3,2,233.925
2021-09-20 05:40:00-04:00,77.93,77.93,77.925,77.925,6,2,467.565
2021-09-20 07:14:00-04:00,77.915,77.915,77.915,77.915,1,1,77.915
2021-09-20 07:17:00-04:00,77.9,77.9,77.9,77.9,1,1,77.9
2021-09-20 07:41:00-04:00,77.8,77.8,77.8,77.8,4,2,311.2
2021-09-20 08:32:00-04:00,77.655,77.655,77.655,77.655,2,1,155.31
2021-09-20 08:34:00-04:00,77.565,77.565,77.565,77.565,2,1,155.13
2021-09-20 08:43:00-04:00,77.78,77.78,77.78,77.78,2,1,155.56
2021-09-20 08:49:00-04:00,77.835,77.835,77.835,77.835,2,1,155.67
2021-09-20 09:44:00-04:00,78.02,78.02,78.02,78.02,2,1,156.04
2021-09-20 10:38:00-04:00,78.06,78.06,78.06,78.06,1,1,78.06
2021-09-20 11:18:00-04:00,78.1,78.1,78.1,78.1,3,1,234.3
2021-09-20 14:47:00-04:00,77.985,77.985,77.98,77.98,7,2,545.865
