,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-18 22:05:00-04:00,82.78,82.78,82.78,82.78,4,1,331.12
2021-05-19 08:58:00-04:00,82.67,82.67,82.67,82.67,5,1,413.35
2021-05-19 09:33:00-04:00,82.71,82.71,82.71,82.71,10,1,827.1
2021-05-19 10:01:00-04:00,82.77,82.77,82.76,82.76,10,4,827.655
2021-05-19 10:09:00-04:00,82.605,82.605,82.605,82.605,2,1,165.21
2021-05-19 10:13:00-04:00,82.535,82.54,82.535,82.54,2,2,165.075
2021-05-19 10:14:00-04:00,82.575,82.575,82.575,82.575,4,1,330.3
2021-05-19 10:25:00-04:00,82.49,82.49,82.49,82.49,4,1,329.96
2021-05-19 11:02:00-04:00,82.535,82.535,82.535,82.535,5,1,412.675
2021-05-19 11:08:00-04:00,82.6,82.6,82.6,82.6,5,4,413.0
2021-05-19 11:16:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-05-19 12:04:00-04:00,82.675,82.675,82.675,82.675,5,1,413.375
2021-05-19 12:14:00-04:00,82.69,82.69,82.69,82.69,2,1,165.38
2021-05-19 13:56:00-04:00,82.72,82.72,82.72,82.72,5,1,413.6
2021-05-19 13:57:00-04:00,82.71,82.71,82.71,82.71,5,1,413.55
2021-05-19 14:04:00-04:00,82.63,82.63,82.63,82.63,5,1,413.15
2021-05-19 14:10:00-04:00,82.56,82.56,82.56,82.56,5,1,412.8
2021-05-19 14:13:00-04:00,82.47,82.47,82.47,82.47,1,1,82.47
2021-05-19 14:46:00-04:00,82.46,82.46,82.46,82.46,3,3,247.38
2021-05-19 14:49:00-04:00,82.43,82.43,82.43,82.43,5,1,412.15
2021-05-19 15:02:00-04:00,82.355,82.355,82.355,82.355,10,2,823.55
2021-05-19 15:26:00-04:00,82.465,82.465,82.465,82.465,10,2,824.65
2021-05-19 15:54:00-04:00,82.475,82.475,82.475,82.475,1,1,82.475
2021-05-19 15:55:00-04:00,82.49,82.49,82.49,82.49,3,1,247.47
