,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-06 19:04:00-04:00,80.26,80.26,80.26,80.26,6,1,481.56
2021-07-06 19:45:00-04:00,80.265,80.265,80.265,80.265,4,1,321.06
2021-07-06 21:18:00-04:00,80.215,80.215,80.215,80.215,3,1,240.645
2021-07-07 04:28:00-04:00,80.38,80.38,80.38,80.38,1,1,80.38
2021-07-07 06:20:00-04:00,80.395,80.395,80.395,80.395,2,1,160.79
2021-07-07 06:21:00-04:00,80.395,80.395,80.395,80.395,2,1,160.79
2021-07-07 08:34:00-04:00,80.36,80.36,80.36,80.36,1,1,80.36
2021-07-07 09:01:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-07-07 09:08:00-04:00,80.375,80.375,80.375,80.375,1,1,80.375
2021-07-07 09:58:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-07-07 10:44:00-04:00,79.925,79.925,79.925,79.925,1,1,79.925
2021-07-07 11:37:00-04:00,79.965,79.965,79.965,79.965,1,1,79.965
2021-07-07 11:49:00-04:00,79.965,79.965,79.965,79.965,1,1,79.965
2021-07-07 13:13:00-04:00,80.13,80.135,80.13,80.135,2,2,160.265
