,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-06 20:03:00-04:00,80.235,80.235,80.235,80.235,1,1,80.235
2021-07-06 20:04:00-04:00,80.25,80.25,80.25,80.25,1,1,80.25
2021-07-06 23:13:00-04:00,80.2,80.2,80.2,80.2,1,1,80.2
2021-07-07 02:57:00-04:00,80.275,80.275,80.275,80.275,1,1,80.275
2021-07-07 02:59:00-04:00,80.285,80.285,80.285,80.285,1,1,80.285
2021-07-07 03:59:00-04:00,80.37,80.37,80.37,80.37,1,1,80.37
2021-07-07 04:28:00-04:00,80.38,80.38,80.38,80.38,1,1,80.38
2021-07-07 10:24:00-04:00,80.095,80.095,80.095,80.095,1,1,80.095
2021-07-07 10:31:00-04:00,79.96,79.96,79.945,79.96,6,4,479.7
2021-07-07 10:32:00-04:00,79.92,79.92,79.92,79.92,2,1,159.84
2021-07-07 10:41:00-04:00,79.89,79.89,79.89,79.89,1,1,79.89
2021-07-07 10:44:00-04:00,79.93,79.93,79.925,79.925,6,2,479.565
2021-07-07 10:57:00-04:00,79.96,79.96,79.96,79.96,1,1,79.96
2021-07-07 11:37:00-04:00,79.965,79.965,79.965,79.965,1,1,79.965
2021-07-07 14:07:00-04:00,80.24,80.24,80.24,80.24,2,1,160.48
