,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-05 05:12:00-04:00,80.18,80.18,80.18,80.18,2,1,160.36
2021-11-05 05:18:00-04:00,80.19,80.19,80.19,80.19,1,1,80.19
2021-11-05 05:45:00-04:00,80.195,80.195,80.195,80.195,1,1,80.195
2021-11-05 06:13:00-04:00,80.165,80.17,80.165,80.17,4,2,320.665
2021-11-05 06:42:00-04:00,80.13,80.13,80.125,80.125,5,2,400.635
2021-11-05 08:31:00-04:00,80.155,80.165,80.15,80.165,3,3,240.47
2021-11-05 08:36:00-04:00,80.33,80.33,80.33,80.33,1,1,80.33
2021-11-05 08:59:00-04:00,80.295,80.295,80.295,80.295,1,1,80.295
2021-11-05 09:16:00-04:00,80.33,80.33,80.325,80.325,3,3,240.985
2021-11-05 09:52:00-04:00,80.26,80.26,80.26,80.26,1,1,80.26
2021-11-05 09:59:00-04:00,80.215,80.215,80.215,80.215,1,1,80.215
2021-11-05 10:55:00-04:00,80.21,80.21,80.21,80.21,1,1,80.21
2021-11-05 14:36:00-04:00,80.32,80.32,80.32,80.32,1,1,80.32
