,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index
,open,high,low,close,volume,num_trds,value
2021-10-11 18:00:00-04:00,4347.75,4349.75,4347.75,4348.0,539,210,2343864.25
2021-10-11 18:01:00-04:00,4348.0,4348.25,4346.5,4346.5,350,128,1521598.25
2021-10-11 18:02:00-04:00,4346.25,4348.25,4346.0,4347.75,365,114,1586524.25
2021-10-11 18:03:00-04:00,4348.0,4348.0,4346.5,4347.5,102,47,443396.25
2021-10-11 18:04:00-04:00,4347.5,4348.25,4347.25,4348.25,115,57,500003.75
2021-10-11 18:05:00-04:00,4348.25,4349.0,4348.25,4348.75,121,49,526182.0
2021-10-11 18:06:00-04:00,4348.5,4348.5,4347.0,4347.0,227,87,986895.0
2021-10-11 18:07:00-04:00,4347.0,4347.25,4346.5,4347.0,153,48,665057.25
2021-10-11 18:08:00-04:00,4347.25,4347.25,4346.0,4346.0,75,43,325979.25
2021-10-11 18:09:00-04:00,4346.0,4346.0,4344.0,4345.5,485,202,2107296.25
2021-10-11 18:10:00-04:00,4345.5,4346.0,4345.25,4346.0,120,59,521479.75
2021-10-11 18:11:00-04:00,4346.0,4346.5,4346.0,4346.5,64,30,278150.25
2021-10-11 18:12:00-04:00,4346.5,4346.5,4345.25,4345.5,86,30,373742.25
2021-10-11 18:13:00-04:00,4345.5,4346.25,4345.0,4346.25,149,53,647485.5
2021-10-11 18:14:00-04:00,4346.0,4346.5,4346.0,4346.0,85,33,369432.0
2021-10-11 18:15:00-04:00,4346.25,4346.75,4346.0,4346.75,59,10,256441.25
2021-10-11 18:16:00-04:00,4346.75,4347.0,4346.75,4346.75,45,23,195608.5
2021-10-11 18:17:00-04:00,4347.0,4347.75,4346.75,4347.75,86,34,373871.5
2021-10-11 18:18:00-04:00,4348.0,4348.0,4347.25,4347.5,83,26,360855.0
2021-10-11 18:19:00-04:00,4347.5,4348.25,4347.5,4347.75,212,58,921772.75
2021-10-11 18:20:00-04:00,4348.0,4349.5,4347.75,4349.25,263,84,1143714.75
2021-10-11 18:21:00-04:00,4349.5,4349.75,4349.0,4349.75,156,58,678510.25
2021-10-11 18:22:00-04:00,4349.75,4349.75,4348.75,4349.25,130,47,565408.5
2021-10-11 18:23:00-04:00,4349.0,4349.0,4348.25,4348.25,143,59,621853.0
2021-10-11 18:24:00-04:00,4348.5,4348.5,4348.0,4348.5,51,20,221764.5
2021-10-11 18:25:00-04:00,4348.5,4348.5,4347.75,4348.0,77,38,334802.5
2021-10-11 18:26:00-04:00,4348.0,4348.5,4347.75,4348.0,67,39,291324.25
2021-10-11 18:27:00-04:00,4347.75,4348.0,4347.25,4347.75,133,47,578220.25
2021-10-11 18:28:00-04:00,4347.5,4348.0,4347.5,4348.0,79,30,343473.75
