,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-10 21:36:00-05:00,80.05,80.05,80.05,80.05,2,1,160.1
2021-11-10 22:58:00-05:00,79.95,79.95,79.95,79.95,2,1,159.9
2021-11-11 09:22:00-05:00,79.57,79.57,79.57,79.57,1,1,79.57
2021-11-11 09:34:00-05:00,79.61,79.61,79.61,79.61,4,1,318.44
2021-11-11 09:58:00-05:00,79.48,79.48,79.48,79.48,3,1,238.44
