,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty,S N22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-01 20:00:00-04:00,1304.0,1304.0,1300.5,1300.5,19,15,24762.25
2021-09-01 20:01:00-04:00,1300.5,1300.5,1300.5,1300.5,1,1,1300.5
2021-09-01 20:03:00-04:00,1297.75,1297.75,1297.75,1297.75,2,1,2595.5
2021-09-01 20:07:00-04:00,1298.5,1298.5,1298.5,1298.5,3,2,3895.5
2021-09-01 20:10:00-04:00,1299.75,1299.75,1299.75,1299.75,1,1,1299.75
2021-09-01 20:13:00-04:00,1301.25,1301.25,1301.25,1301.25,1,1,1301.25
2021-09-01 20:34:00-04:00,1298.5,1298.5,1298.5,1298.5,1,1,1298.5
2021-09-01 20:40:00-04:00,1298.25,1298.25,1298.25,1298.25,1,1,1298.25
2021-09-01 20:41:00-04:00,1298.25,1298.25,1298.25,1298.25,1,1,1298.25
2021-09-01 20:43:00-04:00,1299.75,1299.75,1299.75,1299.75,1,1,1299.75
2021-09-01 20:46:00-04:00,1300.25,1300.25,1300.25,1300.25,1,1,1300.25
2021-09-01 20:53:00-04:00,1300.5,1300.5,1300.5,1300.5,1,1,1300.5
2021-09-01 20:56:00-04:00,1303.0,1303.0,1303.0,1303.0,2,2,2606.0
2021-09-01 20:57:00-04:00,1303.25,1303.25,1303.25,1303.25,1,1,1303.25
2021-09-01 20:58:00-04:00,1303.25,1303.25,1303.25,1303.25,2,1,2606.5
2021-09-01 20:59:00-04:00,1304.25,1304.25,1304.25,1304.25,1,1,1304.25
2021-09-01 21:00:00-04:00,1305.0,1305.0,1305.0,1305.0,1,1,1305.0
2021-09-01 21:46:00-04:00,1300.0,1300.0,1299.5,1299.5,2,2,2599.5
2021-09-01 21:54:00-04:00,1300.5,1300.5,1300.5,1300.5,1,1,1300.5
2021-09-01 22:11:00-04:00,1303.0,1303.0,1303.0,1303.0,1,1,1303.0
2021-09-01 22:43:00-04:00,1302.5,1302.5,1302.5,1302.5,2,1,2605.0
2021-09-02 00:47:00-04:00,1302.5,1302.5,1302.5,1302.5,1,1,1302.5
