,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-21 22:24:00-04:00,79.52,79.52,79.52,79.52,1,1,79.52
2021-07-22 07:48:00-04:00,79.69,79.69,79.69,79.69,2,1,159.38
2021-07-22 07:56:00-04:00,79.7,79.7,79.7,79.7,2,1,159.4
2021-07-22 08:07:00-04:00,79.67,79.67,79.67,79.67,2,2,159.34
2021-07-22 08:09:00-04:00,79.68,79.68,79.68,79.68,1,1,79.68
2021-07-22 08:11:00-04:00,79.65,79.65,79.65,79.65,2,2,159.3
2021-07-22 09:00:00-04:00,79.63,79.63,79.63,79.63,1,1,79.63
2021-07-22 09:35:00-04:00,79.555,79.555,79.555,79.555,1,1,79.555
2021-07-22 10:17:00-04:00,79.42,79.42,79.42,79.42,1,1,79.42
2021-07-22 10:54:00-04:00,79.555,79.555,79.555,79.555,1,1,79.555
2021-07-22 13:28:00-04:00,79.505,79.505,79.505,79.505,2,1,159.01
