,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-02 18:53:00-04:00,79.685,79.685,79.685,79.685,1,1,79.685
2021-09-02 19:47:00-04:00,79.66,79.66,79.66,79.66,1,1,79.66
2021-09-03 01:44:00-04:00,79.7,79.7,79.7,79.7,2,1,159.4
2021-09-03 02:53:00-04:00,79.74,79.74,79.74,79.74,3,2,239.22
2021-09-03 08:30:00-04:00,80.0,80.0,80.0,80.0,1,1,80.0
2021-09-03 08:36:00-04:00,79.985,80.015,79.985,80.015,40,6,3200.18
2021-09-03 08:38:00-04:00,79.92,79.92,79.92,79.92,1,1,79.92
2021-09-03 08:54:00-04:00,79.945,79.945,79.945,79.945,1,1,79.945
2021-09-03 11:09:00-04:00,79.98,79.98,79.98,79.98,2,1,159.96
2021-09-03 13:49:00-04:00,79.935,79.935,79.935,79.935,2,2,159.87
