,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-26 20:36:00-04:00,79.09,79.09,79.09,79.09,3,1,237.27
2021-09-26 20:37:00-04:00,79.105,79.105,79.105,79.105,1,1,79.105
2021-09-26 21:06:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-09-26 21:37:00-04:00,79.28,79.28,79.275,79.275,3,2,237.83
2021-09-27 02:02:00-04:00,79.235,79.235,79.235,79.235,2,2,158.47
2021-09-27 02:11:00-04:00,79.23,79.23,79.23,79.23,1,1,79.23
2021-09-27 02:27:00-04:00,79.185,79.185,79.185,79.185,2,1,158.37
2021-09-27 02:49:00-04:00,79.23,79.23,79.23,79.23,2,1,158.46
2021-09-27 05:40:00-04:00,79.015,79.015,79.015,79.015,2,2,158.03
