,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-26 20:25:00-04:00,79.1,79.1,79.1,79.1,1,1,79.1
2021-09-26 20:36:00-04:00,79.095,79.095,79.095,79.095,1,1,79.095
2021-09-26 21:42:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-09-26 22:27:00-04:00,79.18,79.18,79.18,79.18,4,3,316.72
2021-09-26 23:42:00-04:00,79.19,79.19,79.19,79.19,1,1,79.19
2021-09-27 05:40:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
2021-09-27 05:41:00-04:00,79.015,79.015,79.015,79.015,1,1,79.015
2021-09-27 06:03:00-04:00,78.95,78.95,78.95,78.95,8,1,631.6
2021-09-27 06:12:00-04:00,78.995,78.995,78.995,78.995,2,2,157.99
2021-09-27 08:42:00-04:00,78.945,78.945,78.945,78.945,1,1,78.945
2021-09-27 09:02:00-04:00,78.985,78.985,78.985,78.985,1,1,78.985
2021-09-27 09:25:00-04:00,78.965,78.965,78.965,78.965,2,1,157.93
2021-09-27 09:29:00-04:00,78.965,78.965,78.965,78.965,1,1,78.965
2021-09-27 09:33:00-04:00,79.0,79.0,79.0,79.0,1,1,79.0
2021-09-27 09:35:00-04:00,78.96,78.96,78.96,78.96,1,1,78.96
2021-09-27 10:13:00-04:00,79.055,79.055,79.055,79.055,2,1,158.11
2021-09-27 10:17:00-04:00,79.09,79.09,79.09,79.09,1,1,79.09
2021-09-27 10:20:00-04:00,79.135,79.135,79.135,79.135,2,1,158.27
2021-09-27 10:30:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-09-27 10:32:00-04:00,79.16,79.16,79.155,79.16,68,6,5382.87
2021-09-27 13:16:00-04:00,79.175,79.175,79.175,79.175,3,1,237.525
2021-09-27 14:39:00-04:00,79.225,79.225,79.225,79.225,1,1,79.225
2021-09-27 15:52:00-04:00,79.18,79.18,79.18,79.18,1,1,79.18
