,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-05 18:15:00-04:00,81.07,81.07,81.07,81.07,1,1,81.07
2021-07-05 20:58:00-04:00,81.05,81.05,81.05,81.05,1,1,81.05
2021-07-06 00:37:00-04:00,81.12,81.12,81.12,81.12,1,1,81.12
2021-07-06 00:50:00-04:00,81.095,81.095,81.095,81.095,3,1,243.285
2021-07-06 02:56:00-04:00,81.235,81.235,81.23,81.23,2,2,162.465
2021-07-06 06:29:00-04:00,80.925,80.925,80.925,80.925,1,1,80.925
2021-07-06 07:29:00-04:00,80.95,80.95,80.95,80.95,1,1,80.95
2021-07-06 09:03:00-04:00,80.755,80.755,80.755,80.755,1,1,80.755
2021-07-06 09:21:00-04:00,80.755,80.755,80.755,80.755,1,1,80.755
2021-07-06 09:42:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-07-06 10:10:00-04:00,80.47,80.47,80.47,80.47,2,1,160.94
2021-07-06 10:12:00-04:00,80.43,80.43,80.43,80.43,2,1,160.86
2021-07-06 10:21:00-04:00,80.205,80.205,80.205,80.205,2,1,160.41
2021-07-06 10:45:00-04:00,80.25,80.25,80.25,80.25,1,1,80.25
2021-07-06 11:26:00-04:00,80.06,80.06,80.06,80.06,6,1,480.36
2021-07-06 11:46:00-04:00,80.17,80.17,80.17,80.17,1,1,80.17
2021-07-06 12:27:00-04:00,80.065,80.065,80.065,80.065,1,1,80.065
2021-07-06 12:34:00-04:00,80.095,80.095,80.095,80.095,9,3,720.855
2021-07-06 13:31:00-04:00,80.185,80.185,80.185,80.185,1,1,80.185
2021-07-06 13:44:00-04:00,80.22,80.22,80.22,80.22,1,1,80.22
2021-07-06 13:59:00-04:00,80.31,80.31,80.31,80.31,1,1,80.31
2021-07-06 14:13:00-04:00,80.255,80.255,80.255,80.255,1,1,80.255
