,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-06 01:18:00-04:00,81.15,81.15,81.15,81.15,1,1,81.15
2021-07-06 02:56:00-04:00,81.235,81.235,81.23,81.23,2,2,162.465
2021-07-06 06:52:00-04:00,80.93,80.93,80.93,80.93,1,1,80.93
2021-07-06 07:44:00-04:00,80.9,80.9,80.9,80.9,1,1,80.9
2021-07-06 09:03:00-04:00,80.755,80.755,80.755,80.755,2,1,161.51
2021-07-06 09:05:00-04:00,80.7,80.7,80.7,80.7,1,1,80.7
2021-07-06 10:28:00-04:00,80.155,80.155,80.155,80.155,1,1,80.155
2021-07-06 10:29:00-04:00,80.145,80.145,80.145,80.145,2,1,160.29
2021-07-06 10:33:00-04:00,80.12,80.12,80.12,80.12,1,1,80.12
2021-07-06 11:01:00-04:00,80.1,80.1,80.1,80.1,1,1,80.1
2021-07-06 11:09:00-04:00,80.11,80.11,80.11,80.11,1,1,80.11
2021-07-06 11:33:00-04:00,80.15,80.15,80.15,80.15,1,1,80.15
2021-07-06 11:46:00-04:00,80.155,80.17,80.15,80.17,13,4,1042.035
2021-07-06 12:19:00-04:00,80.17,80.17,80.17,80.17,1,1,80.17
2021-07-06 13:59:00-04:00,80.31,80.31,80.31,80.31,2,2,160.62
2021-07-06 15:01:00-04:00,80.23,80.23,80.23,80.23,4,1,320.92
