,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-27 21:47:00-04:00,80.82,80.82,80.82,80.82,10,1,808.2
2021-10-27 21:48:00-04:00,80.825,80.825,80.825,80.825,8,2,646.6
2021-10-28 02:01:00-04:00,80.835,80.835,80.83,80.83,10,2,808.325
2021-10-28 09:03:00-04:00,80.84,80.84,80.84,80.84,6,2,485.04
2021-10-28 09:39:00-04:00,80.945,80.945,80.945,80.945,3,1,242.835
2021-10-28 10:02:00-04:00,80.96,80.96,80.96,80.96,1,1,80.96
2021-10-28 10:19:00-04:00,80.99,80.99,80.99,80.99,2,1,161.98
2021-10-28 10:31:00-04:00,81.025,81.025,81.025,81.025,2,1,162.05
2021-10-28 10:56:00-04:00,81.08,81.08,81.08,81.08,5,1,405.4
2021-10-28 10:57:00-04:00,81.065,81.065,81.065,81.065,5,1,405.325
