,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-20 18:51:00-04:00,78.875,78.875,78.875,78.875,1,1,78.875
2021-07-20 19:20:00-04:00,78.885,78.885,78.885,78.885,1,1,78.885
2021-07-20 20:18:00-04:00,78.86,78.86,78.86,78.86,2,1,157.72
2021-07-20 20:41:00-04:00,78.88,78.88,78.88,78.88,3,1,236.64
2021-07-21 09:23:00-04:00,79.04,79.04,79.04,79.04,35,5,2766.4
2021-07-21 09:36:00-04:00,79.115,79.115,79.115,79.115,30,5,2373.45
2021-07-21 10:38:00-04:00,79.38,79.38,79.38,79.38,1,1,79.38
2021-07-21 11:47:00-04:00,79.765,79.765,79.765,79.765,1,1,79.765
2021-07-21 12:12:00-04:00,79.665,79.67,79.665,79.67,2,2,159.335
2021-07-21 12:16:00-04:00,79.69,79.69,79.69,79.69,1,1,79.69
2021-07-21 12:40:00-04:00,79.595,79.595,79.595,79.595,1,1,79.595
