,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-08 20:00:00-04:00,1301.5,1302.0,1301.5,1302.0,5,2,6508.0
2021-09-08 20:01:00-04:00,1302.0,1302.5,1302.0,1302.25,3,3,3906.75
2021-09-08 20:02:00-04:00,1302.5,1302.5,1302.25,1302.25,5,4,6511.5
2021-09-08 20:03:00-04:00,1301.75,1301.75,1301.25,1301.25,4,4,5205.75
2021-09-08 20:04:00-04:00,1300.0,1300.0,1300.0,1300.0,2,1,2600.0
2021-09-08 20:21:00-04:00,1300.0,1300.0,1300.0,1300.0,7,3,9100.0
2021-09-08 20:38:00-04:00,1299.25,1299.25,1299.25,1299.25,3,1,3897.75
2021-09-08 21:01:00-04:00,1296.75,1296.75,1296.75,1296.75,1,1,1296.75
2021-09-08 21:20:00-04:00,1296.25,1296.25,1296.25,1296.25,7,1,9073.75
2021-09-08 21:22:00-04:00,1295.75,1295.75,1295.5,1295.5,12,4,15546.5
2021-09-08 21:24:00-04:00,1295.5,1295.5,1295.5,1295.5,7,2,9068.5
2021-09-08 21:25:00-04:00,1295.25,1295.75,1295.25,1295.75,18,6,23316.5
2021-09-08 21:27:00-04:00,1295.5,1296.0,1295.5,1296.0,8,4,10364.5
2021-09-08 21:28:00-04:00,1295.5,1295.5,1295.5,1295.5,5,1,6477.5
2021-09-08 21:29:00-04:00,1295.5,1295.5,1295.5,1295.5,5,4,6477.5
2021-09-08 21:30:00-04:00,1295.75,1295.75,1295.75,1295.75,6,2,7774.5
2021-09-08 21:31:00-04:00,1295.75,1295.75,1295.75,1295.75,6,3,7774.5
2021-09-08 21:32:00-04:00,1295.75,1295.75,1295.75,1295.75,7,3,9070.25
2021-09-08 21:34:00-04:00,1296.0,1296.0,1295.75,1295.75,5,2,6479.25
2021-09-08 21:35:00-04:00,1295.75,1296.0,1295.75,1296.0,13,5,16846.75
2021-09-08 21:36:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-08 21:37:00-04:00,1296.0,1296.0,1295.75,1295.75,5,2,6479.5
2021-09-08 21:38:00-04:00,1295.75,1296.0,1295.75,1296.0,13,3,16846.75
2021-09-08 21:39:00-04:00,1295.75,1296.0,1295.75,1296.0,9,8,11663.75
2021-09-08 21:40:00-04:00,1296.25,1296.25,1296.25,1296.25,1,1,1296.25
2021-09-08 21:41:00-04:00,1296.0,1296.0,1296.0,1296.0,5,1,6480.0
2021-09-08 21:42:00-04:00,1296.25,1296.25,1296.25,1296.25,14,4,18147.5
2021-09-08 21:44:00-04:00,1296.25,1296.5,1296.0,1296.5,10,5,12961.75
2021-09-08 21:45:00-04:00,1296.25,1296.5,1296.25,1296.5,9,4,11667.0
2021-09-08 21:46:00-04:00,1297.75,1298.0,1297.5,1298.0,10,4,12977.5
2021-09-08 21:47:00-04:00,1298.5,1298.5,1298.5,1298.5,6,3,7791.0
2021-09-08 21:48:00-04:00,1298.0,1298.25,1298.0,1298.25,8,4,10385.75
2021-09-08 21:49:00-04:00,1297.75,1297.75,1297.75,1297.75,1,1,1297.75
2021-09-08 21:53:00-04:00,1298.75,1298.75,1298.75,1298.75,1,1,1298.75
2021-09-08 22:30:00-04:00,1297.75,1297.75,1297.5,1297.5,5,2,6487.75
2021-09-08 22:31:00-04:00,1297.5,1297.75,1297.5,1297.75,12,3,15571.25
2021-09-08 22:32:00-04:00,1297.5,1297.5,1297.5,1297.5,7,4,9082.5
2021-09-08 22:33:00-04:00,1297.25,1297.25,1297.0,1297.0,14,3,18158.25
2021-09-08 22:34:00-04:00,1297.25,1297.5,1297.0,1297.5,11,4,14270.5
2021-09-08 22:35:00-04:00,1298.0,1298.0,1298.0,1298.0,7,2,9086.0
2021-09-08 22:36:00-04:00,1298.0,1298.75,1298.0,1298.75,12,9,15581.25
2021-09-08 22:37:00-04:00,1298.0,1298.0,1297.25,1297.75,16,5,20764.0
2021-09-08 22:39:00-04:00,1297.75,1297.75,1297.75,1297.75,13,2,16870.75
2021-09-08 22:40:00-04:00,1298.0,1298.0,1298.0,1298.0,6,3,7788.0
2021-09-08 22:41:00-04:00,1297.75,1298.0,1297.25,1297.25,16,5,20762.25
2021-09-08 22:42:00-04:00,1297.75,1298.25,1297.75,1298.25,9,5,11683.25
2021-09-08 22:43:00-04:00,1298.75,1298.75,1298.75,1298.75,6,2,7792.5
2021-09-08 22:44:00-04:00,1298.0,1298.5,1298.0,1298.5,11,6,14280.5
2021-09-08 22:45:00-04:00,1298.25,1298.25,1298.25,1298.25,6,1,7789.5
