,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-24 20:00:00-04:00,1298.5,1304.5,1298.5,1302.75,81,20,105286.0
2021-06-24 20:01:00-04:00,1302.5,1303.0,1302.25,1303.0,3,3,3907.75
2021-06-24 20:02:00-04:00,1302.75,1303.25,1302.75,1303.25,6,3,7818.5
2021-06-24 20:04:00-04:00,1302.25,1302.5,1302.25,1302.5,2,2,2604.75
2021-06-24 20:05:00-04:00,1302.75,1304.0,1302.75,1304.0,7,4,9126.25
2021-06-24 20:06:00-04:00,1303.75,1303.75,1303.75,1303.75,1,1,1303.75
2021-06-24 20:10:00-04:00,1305.25,1305.25,1304.0,1304.0,3,3,3913.75
2021-06-24 20:11:00-04:00,1304.5,1304.5,1304.5,1304.5,5,2,6522.5
2021-06-24 20:12:00-04:00,1306.5,1306.5,1306.5,1306.5,1,1,1306.5
2021-06-24 20:13:00-04:00,1306.75,1307.5,1306.75,1307.5,2,2,2614.25
2021-06-24 20:14:00-04:00,1307.25,1309.25,1307.25,1309.0,12,7,15705.75
2021-06-24 20:15:00-04:00,1309.0,1309.0,1309.0,1309.0,1,1,1309.0
2021-06-24 20:16:00-04:00,1309.75,1310.5,1309.75,1310.0,10,7,13100.25
2021-06-24 20:19:00-04:00,1308.5,1308.5,1308.5,1308.5,1,1,1308.5
2021-06-24 20:20:00-04:00,1308.75,1308.75,1307.75,1307.75,4,4,5232.25
2021-06-24 20:21:00-04:00,1308.0,1308.25,1308.0,1308.25,2,2,2616.25
2021-06-24 20:23:00-04:00,1307.5,1307.5,1307.5,1307.5,4,2,5230.0
2021-06-24 20:25:00-04:00,1307.0,1307.0,1307.0,1307.0,1,1,1307.0
2021-06-24 20:27:00-04:00,1307.0,1307.75,1307.0,1307.75,33,4,43150.0
2021-06-24 20:34:00-04:00,1307.25,1307.25,1307.25,1307.25,1,1,1307.25
2021-06-24 20:35:00-04:00,1308.5,1308.5,1308.5,1308.5,3,1,3925.5
2021-06-24 20:36:00-04:00,1308.25,1308.25,1308.25,1308.25,5,2,6541.25
2021-06-24 20:37:00-04:00,1308.5,1308.5,1308.5,1308.5,1,1,1308.5
2021-06-24 20:40:00-04:00,1307.75,1308.0,1307.75,1308.0,21,5,27467.25
2021-06-24 20:42:00-04:00,1307.75,1307.75,1307.75,1307.75,2,2,2615.5
2021-06-24 20:43:00-04:00,1308.0,1308.0,1307.75,1307.75,9,6,11771.75
2021-06-24 20:44:00-04:00,1308.0,1308.0,1308.0,1308.0,1,1,1308.0
2021-06-24 20:52:00-04:00,1309.5,1309.5,1309.5,1309.5,1,1,1309.5
2021-06-24 20:53:00-04:00,1309.0,1309.5,1309.0,1309.5,4,3,5237.0
2021-06-24 20:56:00-04:00,1309.0,1309.0,1308.75,1308.75,2,2,2617.75
2021-06-24 20:57:00-04:00,1309.0,1309.0,1309.0,1309.0,1,1,1309.0
2021-06-24 20:58:00-04:00,1309.0,1309.0,1309.0,1309.0,1,1,1309.0
2021-06-24 21:00:00-04:00,1308.75,1308.75,1305.0,1305.0,29,26,37906.75
2021-06-24 21:01:00-04:00,1305.25,1305.25,1305.25,1305.25,1,1,1305.25
2021-06-24 21:02:00-04:00,1306.0,1306.0,1306.0,1306.0,1,1,1306.0
2021-06-24 21:04:00-04:00,1307.25,1307.25,1307.25,1307.25,1,1,1307.25
2021-06-24 21:05:00-04:00,1306.25,1306.25,1304.75,1304.75,11,4,14357.25
2021-06-24 21:06:00-04:00,1305.75,1306.0,1305.25,1306.0,4,3,5222.25
2021-06-24 21:07:00-04:00,1307.25,1307.25,1307.25,1307.25,1,1,1307.25
2021-06-24 21:08:00-04:00,1306.25,1306.25,1306.25,1306.25,1,1,1306.25
