,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-11-03 20:00:00-04:00,1254.75,1255.0,1253.75,1254.25,46,30,57708.25
2021-11-03 20:01:00-04:00,1254.5,1255.75,1254.5,1255.75,41,13,51457.5
2021-11-03 20:02:00-04:00,1255.75,1256.25,1255.75,1256.0,11,6,13816.25
2021-11-03 20:03:00-04:00,1256.0,1256.0,1256.0,1256.0,4,2,5024.0
2021-11-03 20:04:00-04:00,1255.75,1255.75,1255.25,1255.25,3,3,3766.25
2021-11-03 20:05:00-04:00,1255.5,1255.5,1254.75,1254.75,12,5,15061.25
2021-11-03 20:06:00-04:00,1255.0,1255.25,1255.0,1255.0,4,4,5020.25
2021-11-03 20:09:00-04:00,1255.25,1255.75,1255.25,1255.75,5,3,6278.0
2021-11-03 20:10:00-04:00,1255.75,1255.75,1255.25,1255.25,2,2,2511.0
2021-11-03 20:12:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-11-03 20:25:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-11-03 20:29:00-04:00,1256.25,1256.25,1256.25,1256.25,1,1,1256.25
2021-11-03 20:31:00-04:00,1255.75,1255.75,1255.75,1255.75,2,1,2511.5
2021-11-03 20:32:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-11-03 20:34:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-11-03 20:41:00-04:00,1255.75,1256.0,1255.75,1256.0,4,2,5023.5
2021-11-03 20:43:00-04:00,1256.0,1256.0,1256.0,1256.0,4,1,5024.0
2021-11-03 20:44:00-04:00,1256.25,1256.25,1256.25,1256.25,1,1,1256.25
2021-11-03 20:47:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-11-03 20:50:00-04:00,1255.5,1255.5,1255.25,1255.25,15,2,18831.25
2021-11-03 20:52:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-11-03 20:54:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-11-03 21:00:00-04:00,1255.5,1256.5,1255.5,1256.0,58,48,72855.0
2021-11-03 21:01:00-04:00,1256.5,1256.5,1256.25,1256.5,7,7,8795.25
2021-11-03 21:02:00-04:00,1256.5,1256.5,1256.5,1256.5,12,12,15078.0
2021-11-03 21:03:00-04:00,1256.75,1257.0,1256.5,1257.0,23,23,28907.25
2021-11-03 21:04:00-04:00,1257.0,1257.0,1256.75,1257.0,16,10,20111.75
2021-11-03 21:05:00-04:00,1257.0,1257.0,1256.75,1256.75,11,3,13826.75
2021-11-03 21:06:00-04:00,1256.5,1256.5,1256.5,1256.5,10,3,12565.0
2021-11-03 21:08:00-04:00,1256.25,1256.25,1256.25,1256.25,2,1,2512.5
2021-11-03 21:09:00-04:00,1256.0,1256.0,1255.75,1255.75,8,8,10046.25
2021-11-03 21:10:00-04:00,1255.75,1255.75,1255.75,1255.75,2,2,2511.5
2021-11-03 21:13:00-04:00,1256.0,1256.0,1256.0,1256.0,3,3,3768.0
2021-11-03 21:15:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-11-03 21:18:00-04:00,1255.75,1255.75,1255.75,1255.75,5,1,6278.75
2021-11-03 21:20:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-11-03 21:21:00-04:00,1255.0,1255.0,1255.0,1255.0,2,1,2510.0
2021-11-03 21:22:00-04:00,1255.0,1255.0,1255.0,1255.0,5,4,6275.0
2021-11-03 21:25:00-04:00,1255.25,1255.25,1255.25,1255.25,11,4,13807.75
2021-11-03 21:33:00-04:00,1255.25,1255.25,1255.25,1255.25,10,4,12552.5
2021-11-03 21:38:00-04:00,1255.0,1255.0,1255.0,1255.0,2,2,2510.0
