,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-16 19:40:00-04:00,81.44,81.44,81.44,81.44,1,1,81.44
2021-06-17 03:41:00-04:00,81.335,81.335,81.335,81.335,1,1,81.335
2021-06-17 04:45:00-04:00,81.22,81.22,81.22,81.22,2,1,162.44
2021-06-17 06:08:00-04:00,81.135,81.135,81.135,81.135,2,1,162.27
2021-06-17 06:54:00-04:00,81.015,81.015,81.015,81.015,1,1,81.015
2021-06-17 06:56:00-04:00,81.03,81.03,81.03,81.03,1,1,81.03
2021-06-17 07:28:00-04:00,81.13,81.13,81.13,81.13,1,1,81.13
2021-06-17 08:34:00-04:00,81.13,81.13,81.13,81.13,1,1,81.13
2021-06-17 09:16:00-04:00,81.12,81.12,81.12,81.12,1,1,81.12
2021-06-17 10:18:00-04:00,81.09,81.09,81.09,81.09,1,1,81.09
2021-06-17 10:27:00-04:00,81.125,81.125,81.125,81.125,9,1,730.125
2021-06-17 10:28:00-04:00,81.125,81.125,81.125,81.125,1,1,81.125
2021-06-17 12:33:00-04:00,80.805,80.805,80.805,80.805,1,1,80.805
2021-06-17 15:40:00-04:00,80.94,80.94,80.94,80.94,1,1,80.94
2021-06-17 15:52:00-04:00,80.9,80.9,80.9,80.9,7,2,566.3
