,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-16 18:57:00-04:00,81.525,81.525,81.525,81.525,1,1,81.525
2021-06-16 21:01:00-04:00,81.4,81.4,81.4,81.4,1,1,81.4
2021-06-16 21:13:00-04:00,81.44,81.44,81.44,81.44,1,1,81.44
2021-06-17 01:47:00-04:00,81.545,81.545,81.545,81.545,6,2,489.27
2021-06-17 01:48:00-04:00,81.555,81.555,81.555,81.555,2,1,163.11
2021-06-17 04:21:00-04:00,81.26,81.26,81.26,81.26,1,1,81.26
2021-06-17 04:41:00-04:00,81.205,81.205,81.205,81.205,1,1,81.205
2021-06-17 04:43:00-04:00,81.2,81.2,81.2,81.2,1,1,81.2
2021-06-17 05:13:00-04:00,81.22,81.22,81.22,81.22,1,1,81.22
2021-06-17 05:32:00-04:00,81.185,81.185,81.185,81.185,1,1,81.185
2021-06-17 05:34:00-04:00,81.18,81.18,81.18,81.18,1,1,81.18
2021-06-17 06:42:00-04:00,81.045,81.045,81.03,81.03,2,2,162.075
2021-06-17 06:59:00-04:00,81.015,81.015,81.015,81.015,1,1,81.015
2021-06-17 07:31:00-04:00,81.14,81.14,81.14,81.14,2,1,162.28
2021-06-17 08:40:00-04:00,81.1,81.1,81.1,81.1,1,1,81.1
2021-06-17 08:41:00-04:00,81.11,81.11,81.11,81.11,1,1,81.11
2021-06-17 08:51:00-04:00,81.06,81.06,81.06,81.06,2,1,162.12
2021-06-17 09:04:00-04:00,81.04,81.04,81.04,81.04,2,1,162.08
2021-06-17 09:32:00-04:00,81.25,81.25,81.25,81.25,1,1,81.25
2021-06-17 10:16:00-04:00,81.065,81.065,81.065,81.065,2,1,162.13
2021-06-17 10:20:00-04:00,81.1,81.1,81.1,81.1,3,2,243.3
2021-06-17 10:47:00-04:00,81.22,81.22,81.21,81.21,2,2,162.43
2021-06-17 10:51:00-04:00,81.2,81.2,81.2,81.2,1,1,81.2
2021-06-17 11:07:00-04:00,81.05,81.05,81.05,81.05,2,1,162.1
2021-06-17 11:27:00-04:00,80.995,80.995,80.995,80.995,5,1,404.975
2021-06-17 11:43:00-04:00,80.985,80.985,80.985,80.985,2,2,161.97
2021-06-17 11:54:00-04:00,80.955,80.955,80.955,80.955,1,1,80.955
2021-06-17 11:55:00-04:00,80.96,80.96,80.96,80.96,1,1,80.96
2021-06-17 12:05:00-04:00,80.965,80.965,80.965,80.965,1,1,80.965
2021-06-17 12:25:00-04:00,80.9,80.9,80.9,80.9,2,1,161.8
2021-06-17 12:35:00-04:00,80.86,80.86,80.86,80.86,1,1,80.86
2021-06-17 12:49:00-04:00,80.925,80.925,80.925,80.925,1,1,80.925
2021-06-17 14:50:00-04:00,80.97,80.97,80.97,80.97,1,1,80.97
2021-06-17 14:58:00-04:00,80.97,80.97,80.97,80.97,1,1,80.97
2021-06-17 15:50:00-04:00,80.915,80.915,80.915,80.915,1,1,80.915
