,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-02 09:12:00-04:00,80.74,80.74,80.74,80.74,1,1,80.74
2021-07-02 09:19:00-04:00,80.79,80.79,80.79,80.79,1,1,80.79
2021-07-02 09:58:00-04:00,80.84,80.84,80.84,80.84,1,1,80.84
2021-07-02 10:34:00-04:00,80.895,80.895,80.895,80.895,1,1,80.895
2021-07-02 10:36:00-04:00,80.83,80.83,80.83,80.83,1,1,80.83
2021-07-02 11:26:00-04:00,80.975,80.975,80.975,80.975,1,1,80.975
2021-07-02 12:20:00-04:00,80.98,80.98,80.98,80.98,2,1,161.96
2021-07-02 13:12:00-04:00,81.03,81.03,81.03,81.03,2,1,162.06
2021-07-02 15:38:00-04:00,81.15,81.15,81.15,81.15,1,1,81.15
2021-07-02 15:44:00-04:00,81.13,81.13,81.13,81.13,1,1,81.13
