,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-09 08:35:00-05:00,80.25,80.25,80.25,80.25,3,1,240.75
2021-11-09 09:08:00-05:00,80.27,80.27,80.27,80.27,3,1,240.81
2021-11-09 09:27:00-05:00,80.225,80.225,80.225,80.225,3,1,240.675
2021-11-09 10:02:00-05:00,80.15,80.15,80.15,80.15,2,1,160.3
2021-11-09 10:22:00-05:00,80.1,80.1,80.1,80.1,1,1,80.1
2021-11-09 11:19:00-05:00,80.13,80.13,80.13,80.13,3,1,240.39
2021-11-09 11:28:00-05:00,80.11,80.11,80.11,80.11,8,1,640.88
2021-11-09 12:07:00-05:00,80.2,80.2,80.2,80.2,3,1,240.6
2021-11-09 13:51:00-05:00,80.24,80.24,80.23,80.23,5,2,401.17
2021-11-09 15:58:00-05:00,80.29,80.29,80.29,80.29,1,1,80.29
