,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-09 08:17:00-05:00,80.395,80.395,80.395,80.395,1,1,80.395
2021-11-09 08:18:00-05:00,80.39,80.39,80.39,80.39,1,1,80.39
2021-11-09 08:41:00-05:00,80.335,80.335,80.335,80.335,1,1,80.335
2021-11-09 12:28:00-05:00,80.37,80.37,80.37,80.37,1,1,80.37
2021-11-09 14:21:00-05:00,80.4,80.4,80.4,80.4,3,1,241.2
