,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-12 05:05:00-04:00,80.07,80.07,80.07,80.07,1,1,80.07
2021-07-12 05:08:00-04:00,80.07,80.07,80.07,80.07,1,1,80.07
2021-07-12 10:53:00-04:00,80.26,80.26,80.26,80.26,1,1,80.26
2021-07-12 11:56:00-04:00,80.27,80.27,80.27,80.27,1,1,80.27
2021-07-12 12:26:00-04:00,80.22,80.22,80.22,80.22,1,1,80.22
2021-07-12 15:12:00-04:00,80.21,80.21,80.21,80.21,2,2,160.42
2021-07-12 15:42:00-04:00,80.27,80.27,80.27,80.27,1,1,80.27
