,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-12 18:33:00-04:00,80.215,80.215,80.215,80.215,1,1,80.215
2021-10-13 03:43:00-04:00,80.315,80.315,80.315,80.315,1,1,80.315
2021-10-13 08:20:00-04:00,80.385,80.385,80.385,80.385,3,1,241.155
2021-10-13 08:21:00-04:00,80.37,80.37,80.37,80.37,1,1,80.37
2021-10-13 08:46:00-04:00,80.24,80.24,80.24,80.24,2,1,160.48
2021-10-13 09:23:00-04:00,80.3,80.3,80.3,80.3,1,1,80.3
2021-10-13 09:51:00-04:00,80.245,80.245,80.245,80.245,1,1,80.245
2021-10-13 10:34:00-04:00,80.36,80.36,80.36,80.36,4,2,321.44
2021-10-13 10:41:00-04:00,80.37,80.37,80.37,80.37,4,2,321.48
2021-10-13 12:50:00-04:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-10-13 13:18:00-04:00,80.395,80.395,80.395,80.395,1,1,80.395
2021-10-13 14:02:00-04:00,80.41,80.41,80.41,80.41,1,1,80.41
