,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-12 18:19:00-04:00,80.22,80.22,80.22,80.22,1,1,80.22
2021-10-12 20:00:00-04:00,80.145,80.145,80.145,80.145,1,1,80.145
2021-10-12 20:43:00-04:00,80.21,80.21,80.21,80.21,1,1,80.21
2021-10-12 20:49:00-04:00,80.22,80.22,80.22,80.22,4,2,320.88
2021-10-12 22:57:00-04:00,80.255,80.255,80.255,80.255,1,1,80.255
2021-10-12 23:02:00-04:00,80.27,80.27,80.27,80.27,1,1,80.27
2021-10-12 23:41:00-04:00,80.29,80.29,80.29,80.29,1,1,80.29
2021-10-13 00:59:00-04:00,80.31,80.31,80.31,80.31,1,1,80.31
2021-10-13 01:16:00-04:00,80.305,80.305,80.305,80.305,1,1,80.305
2021-10-13 02:00:00-04:00,80.305,80.305,80.305,80.305,1,1,80.305
2021-10-13 02:04:00-04:00,80.315,80.315,80.315,80.315,1,1,80.315
2021-10-13 02:09:00-04:00,80.295,80.295,80.295,80.295,1,1,80.295
2021-10-13 02:51:00-04:00,80.31,80.31,80.31,80.31,1,1,80.31
2021-10-13 04:38:00-04:00,80.39,80.39,80.39,80.39,1,1,80.39
2021-10-13 04:50:00-04:00,80.39,80.39,80.39,80.39,3,2,241.17
2021-10-13 04:56:00-04:00,80.38,80.38,80.38,80.38,1,1,80.38
2021-10-13 05:20:00-04:00,80.405,80.405,80.405,80.405,1,1,80.405
2021-10-13 05:31:00-04:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-10-13 05:32:00-04:00,80.335,80.335,80.335,80.335,1,1,80.335
2021-10-13 05:49:00-04:00,80.34,80.34,80.34,80.34,1,1,80.34
2021-10-13 06:07:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-10-13 06:15:00-04:00,80.37,80.37,80.37,80.37,1,1,80.37
2021-10-13 06:34:00-04:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-10-13 08:58:00-04:00,80.2,80.2,80.2,80.2,2,2,160.4
2021-10-13 09:10:00-04:00,80.26,80.275,80.26,80.275,2,2,160.535
2021-10-13 09:23:00-04:00,80.3,80.3,80.3,80.3,4,1,321.2
2021-10-13 09:56:00-04:00,80.245,80.245,80.245,80.245,1,1,80.245
2021-10-13 10:20:00-04:00,80.33,80.33,80.33,80.33,1,1,80.33
2021-10-13 10:35:00-04:00,80.33,80.33,80.33,80.33,1,1,80.33
2021-10-13 13:03:00-04:00,80.395,80.395,80.395,80.395,4,3,321.58
2021-10-13 13:04:00-04:00,80.405,80.405,80.405,80.405,2,1,160.81
2021-10-13 13:07:00-04:00,80.405,80.405,80.405,80.405,1,1,80.405
2021-10-13 13:17:00-04:00,80.39,80.39,80.39,80.39,1,1,80.39
2021-10-13 13:23:00-04:00,80.415,80.415,80.415,80.415,1,1,80.415
2021-10-13 13:24:00-04:00,80.415,80.415,80.415,80.415,5,3,402.075
2021-10-13 14:09:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-10-13 14:16:00-04:00,80.39,80.39,80.39,80.39,5,1,401.95
2021-10-13 14:23:00-04:00,80.395,80.395,80.395,80.395,1,1,80.395
2021-10-13 15:23:00-04:00,80.38,80.38,80.38,80.38,1,1,80.38
