,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-17 22:22:00-04:00,80.94,80.94,80.94,80.94,1,1,80.94
2021-06-18 09:32:00-04:00,80.715,80.715,80.715,80.715,1,1,80.715
2021-06-18 09:51:00-04:00,80.635,80.635,80.635,80.635,4,1,322.54
2021-06-18 10:10:00-04:00,80.66,80.66,80.66,80.66,1,1,80.66
2021-06-18 10:20:00-04:00,80.59,80.59,80.59,80.59,1,1,80.59
2021-06-18 10:53:00-04:00,80.46,80.46,80.46,80.46,1,1,80.46
2021-06-18 10:54:00-04:00,80.445,80.445,80.405,80.405,8,3,643.49
2021-06-18 11:09:00-04:00,80.225,80.225,80.225,80.225,1,1,80.225
2021-06-18 11:15:00-04:00,80.255,80.255,80.255,80.255,1,1,80.255
