,S U22 Comdty,S U22 Comdty,S U22 Comdty,S U22 Comdty,S U22 Comdty,S U22 Comdty,S U22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-05 20:00:00-04:00,1260.25,1260.25,1257.75,1257.75,5,2,6298.75
2021-10-06 08:25:00-04:00,1260.25,1260.25,1260.25,1260.25,1,1,1260.25
2021-10-06 08:44:00-04:00,1261.0,1261.0,1261.0,1261.0,1,1,1261.0
2021-10-06 09:30:00-04:00,1260.75,1260.75,1260.75,1260.75,1,1,1260.75
2021-10-06 11:11:00-04:00,1253.0,1253.0,1253.0,1253.0,1,1,1253.0
2021-10-06 11:15:00-04:00,1252.25,1252.25,1252.25,1252.25,1,1,1252.25
2021-10-06 11:23:00-04:00,1251.5,1251.5,1251.5,1251.5,1,1,1251.5
2021-10-06 11:28:00-04:00,1252.75,1252.75,1252.75,1252.75,1,1,1252.75
2021-10-06 12:45:00-04:00,1251.0,1251.0,1251.0,1251.0,1,1,1251.0
2021-10-06 13:06:00-04:00,1252.25,1252.25,1252.25,1252.25,1,1,1252.25
2021-10-06 13:07:00-04:00,1251.75,1251.75,1251.0,1251.0,20,4,25027.25
2021-10-06 13:08:00-04:00,1252.75,1252.75,1252.75,1252.75,3,2,3758.25
