,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-22 20:09:00-04:00,78.205,78.205,78.205,78.205,1,1,78.205
2021-09-22 20:23:00-04:00,78.18,78.18,78.18,78.18,1,1,78.18
2021-09-22 20:34:00-04:00,78.145,78.145,78.145,78.145,4,1,312.58
2021-09-22 21:54:00-04:00,78.24,78.24,78.24,78.24,1,1,78.24
2021-09-23 03:25:00-04:00,78.695,78.695,78.695,78.695,3,1,236.085
2021-09-23 04:16:00-04:00,78.925,78.925,78.925,78.925,1,1,78.925
2021-09-23 04:54:00-04:00,78.945,78.945,78.945,78.945,2,1,157.89
2021-09-23 04:57:00-04:00,78.91,78.91,78.905,78.905,5,2,394.535
2021-09-23 05:09:00-04:00,78.99,78.99,78.99,78.99,2,1,157.98
2021-09-23 05:35:00-04:00,78.9,78.9,78.895,78.895,2,2,157.795
2021-09-23 05:44:00-04:00,78.925,78.925,78.925,78.925,3,1,236.775
2021-09-23 06:13:00-04:00,78.875,78.875,78.875,78.875,1,1,78.875
2021-09-23 08:29:00-04:00,78.885,78.885,78.885,78.885,1,1,78.885
2021-09-23 09:44:00-04:00,79.13,79.13,79.13,79.13,1,1,79.13
2021-09-23 09:50:00-04:00,79.115,79.115,79.115,79.115,1,1,79.115
2021-09-23 10:05:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
2021-09-23 10:25:00-04:00,79.05,79.05,79.05,79.05,1,1,79.05
2021-09-23 11:03:00-04:00,79.05,79.05,79.05,79.05,1,1,79.05
2021-09-23 11:15:00-04:00,78.99,78.99,78.99,78.99,2,1,157.98
2021-09-23 12:06:00-04:00,78.955,78.96,78.955,78.96,2,2,157.915
2021-09-23 12:09:00-04:00,78.96,78.96,78.96,78.96,1,1,78.96
2021-09-23 12:10:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-23 12:17:00-04:00,79.03,79.03,79.03,79.03,1,1,79.03
2021-09-23 12:40:00-04:00,79.07,79.07,79.07,79.07,1,1,79.07
2021-09-23 15:03:00-04:00,79.055,79.055,79.055,79.055,2,1,158.11
2021-09-23 15:04:00-04:00,79.05,79.05,79.05,79.05,1,1,79.05
