,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-22 19:35:00-04:00,78.23,78.23,78.23,78.23,1,1,78.23
2021-09-23 02:46:00-04:00,78.555,78.555,78.555,78.555,1,1,78.555
2021-09-23 03:10:00-04:00,78.685,78.685,78.685,78.685,2,1,157.37
2021-09-23 04:35:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
2021-09-23 04:55:00-04:00,78.925,78.925,78.925,78.925,1,1,78.925
2021-09-23 04:57:00-04:00,78.905,78.905,78.9,78.9,6,2,473.415
2021-09-23 05:09:00-04:00,78.985,78.985,78.985,78.985,2,1,157.97
2021-09-23 05:44:00-04:00,78.92,78.92,78.92,78.92,3,1,236.76
2021-09-23 06:12:00-04:00,78.83,78.83,78.83,78.83,1,1,78.83
2021-09-23 06:13:00-04:00,78.875,78.875,78.875,78.875,3,1,236.625
2021-09-23 06:17:00-04:00,78.9,78.9,78.9,78.9,1,1,78.9
2021-09-23 11:02:00-04:00,79.08,79.08,79.08,79.08,1,1,79.08
2021-09-23 12:06:00-04:00,78.935,78.935,78.935,78.935,1,1,78.935
2021-09-23 12:58:00-04:00,79.07,79.07,79.07,79.07,2,1,158.14
