,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-22 21:15:00-04:00,78.145,78.145,78.145,78.145,1,1,78.145
2021-09-22 21:43:00-04:00,78.2,78.2,78.2,78.2,1,1,78.2
2021-09-22 22:05:00-04:00,78.23,78.23,78.23,78.23,1,1,78.23
2021-09-22 23:03:00-04:00,78.27,78.27,78.27,78.27,1,1,78.27
2021-09-23 00:18:00-04:00,78.355,78.355,78.355,78.355,2,2,156.71
2021-09-23 00:45:00-04:00,78.35,78.35,78.35,78.35,1,1,78.35
2021-09-23 00:59:00-04:00,78.4,78.4,78.4,78.4,1,1,78.4
2021-09-23 01:00:00-04:00,78.39,78.39,78.385,78.385,3,3,235.165
2021-09-23 01:01:00-04:00,78.38,78.38,78.38,78.38,1,1,78.38
2021-09-23 01:39:00-04:00,78.395,78.395,78.395,78.395,1,1,78.395
2021-09-23 03:32:00-04:00,78.705,78.705,78.705,78.705,1,1,78.705
2021-09-23 04:01:00-04:00,78.85,78.85,78.85,78.85,1,1,78.85
2021-09-23 04:35:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
2021-09-23 04:55:00-04:00,78.925,78.925,78.925,78.925,1,1,78.925
2021-09-23 04:57:00-04:00,78.905,78.905,78.905,78.905,3,1,236.715
2021-09-23 05:15:00-04:00,78.965,78.965,78.965,78.965,1,1,78.965
2021-09-23 05:39:00-04:00,78.93,78.93,78.93,78.93,1,1,78.93
2021-09-23 05:44:00-04:00,78.92,78.92,78.92,78.92,3,1,236.76
2021-09-23 06:08:00-04:00,78.98,78.98,78.97,78.97,2,2,157.95
2021-09-23 06:13:00-04:00,78.875,78.875,78.875,78.875,3,1,236.625
2021-09-23 06:16:00-04:00,78.85,78.85,78.85,78.85,1,1,78.85
2021-09-23 09:05:00-04:00,78.93,78.93,78.93,78.93,1,1,78.93
2021-09-23 09:32:00-04:00,78.995,78.995,78.995,78.995,10,2,789.95
2021-09-23 09:37:00-04:00,78.99,78.99,78.99,78.99,10,2,789.9
2021-09-23 10:11:00-04:00,79.085,79.085,79.085,79.085,1,1,79.085
2021-09-23 10:28:00-04:00,79.03,79.03,79.03,79.03,1,1,79.03
2021-09-23 11:20:00-04:00,78.93,78.93,78.93,78.93,1,1,78.93
2021-09-23 11:21:00-04:00,78.93,78.935,78.93,78.935,2,2,157.865
2021-09-23 11:33:00-04:00,78.91,78.95,78.91,78.95,2,2,157.86
2021-09-23 11:34:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-23 15:18:00-04:00,79.05,79.06,79.05,79.06,10,3,790.575
2021-09-23 15:23:00-04:00,79.055,79.055,79.055,79.055,2,1,158.11
