,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-28 20:00:00-04:00,1356.0,1356.0,1355.75,1356.0,5,3,6779.5
2021-07-28 20:01:00-04:00,1355.0,1355.0,1355.0,1355.0,5,4,6775.0
2021-07-28 20:08:00-04:00,1357.0,1357.0,1357.0,1357.0,1,1,1357.0
2021-07-28 20:12:00-04:00,1355.0,1355.0,1355.0,1355.0,1,1,1355.0
2021-07-28 20:19:00-04:00,1356.0,1356.0,1356.0,1356.0,1,1,1356.0
2021-07-28 21:02:00-04:00,1356.0,1356.0,1356.0,1356.0,2,1,2712.0
2021-07-28 21:06:00-04:00,1354.75,1354.75,1354.75,1354.75,2,1,2709.5
2021-07-28 21:24:00-04:00,1354.25,1354.25,1354.25,1354.25,1,1,1354.25
2021-07-28 23:10:00-04:00,1358.25,1358.5,1358.25,1358.5,5,4,6792.0
2021-07-29 00:42:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-07-29 00:47:00-04:00,1360.0,1360.0,1360.0,1360.0,2,1,2720.0
2021-07-29 00:48:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-07-29 00:52:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-07-29 00:55:00-04:00,1360.0,1360.0,1360.0,1360.0,5,1,6800.0
2021-07-29 01:27:00-04:00,1362.0,1362.0,1362.0,1362.0,1,1,1362.0
2021-07-29 01:28:00-04:00,1362.0,1362.0,1362.0,1362.0,9,3,12258.0
2021-07-29 01:35:00-04:00,1362.25,1362.25,1362.25,1362.25,2,1,2724.5
2021-07-29 02:02:00-04:00,1361.5,1361.5,1361.5,1361.5,2,1,2723.0
2021-07-29 02:29:00-04:00,1364.0,1364.0,1364.0,1364.0,1,1,1364.0
2021-07-29 02:34:00-04:00,1364.25,1364.25,1364.25,1364.25,1,1,1364.25
2021-07-29 02:43:00-04:00,1364.0,1364.0,1364.0,1364.0,1,1,1364.0
2021-07-29 03:05:00-04:00,1365.5,1365.5,1365.5,1365.5,1,1,1365.5
2021-07-29 03:06:00-04:00,1365.25,1365.25,1365.25,1365.25,1,1,1365.25
2021-07-29 03:07:00-04:00,1364.5,1364.5,1364.5,1364.5,2,2,2729.0
2021-07-29 03:13:00-04:00,1368.0,1368.0,1368.0,1368.0,10,1,13680.0
2021-07-29 03:14:00-04:00,1369.0,1369.0,1369.0,1369.0,1,1,1369.0
2021-07-29 03:15:00-04:00,1369.0,1369.0,1368.75,1368.75,3,3,4106.75
2021-07-29 03:18:00-04:00,1367.75,1367.75,1367.75,1367.75,2,1,2735.5
2021-07-29 03:24:00-04:00,1367.5,1367.5,1367.5,1367.5,1,1,1367.5
2021-07-29 03:54:00-04:00,1364.75,1364.75,1364.75,1364.75,1,1,1364.75
2021-07-29 04:18:00-04:00,1367.75,1367.75,1367.75,1367.75,1,1,1367.75
2021-07-29 04:56:00-04:00,1367.75,1367.75,1367.75,1367.75,1,1,1367.75
2021-07-29 05:22:00-04:00,1366.0,1366.0,1366.0,1366.0,1,1,1366.0
2021-07-29 05:49:00-04:00,1365.75,1365.75,1365.75,1365.75,10,1,13657.5
2021-07-29 05:56:00-04:00,1365.0,1365.5,1365.0,1365.5,3,3,4095.75
2021-07-29 06:11:00-04:00,1364.5,1364.5,1364.5,1364.5,1,1,1364.5
2021-07-29 06:17:00-04:00,1364.25,1364.25,1364.25,1364.25,1,1,1364.25
2021-07-29 07:07:00-04:00,1363.0,1363.0,1363.0,1363.0,3,1,4089.0
2021-07-29 07:29:00-04:00,1364.25,1364.25,1364.25,1364.25,1,1,1364.25
2021-07-29 07:37:00-04:00,1363.0,1363.0,1363.0,1363.0,1,1,1363.0
2021-07-29 07:41:00-04:00,1362.5,1362.5,1362.5,1362.5,1,1,1362.5
2021-07-29 08:03:00-04:00,1365.75,1365.75,1365.75,1365.75,1,1,1365.75
2021-07-29 08:08:00-04:00,1366.25,1366.25,1366.25,1366.25,1,1,1366.25
2021-07-29 08:10:00-04:00,1366.0,1366.0,1366.0,1366.0,1,1,1366.0
2021-07-29 08:17:00-04:00,1365.0,1365.0,1365.0,1365.0,2,1,2730.0
2021-07-29 08:41:00-04:00,1368.25,1368.25,1368.0,1368.0,6,3,8208.25
2021-07-29 08:43:00-04:00,1367.75,1367.75,1367.75,1367.75,1,1,1367.75
2021-07-29 09:29:00-04:00,1367.75,1368.0,1367.5,1367.5,17,6,23254.25
2021-07-29 09:30:00-04:00,1367.75,1370.5,1367.25,1370.25,35,16,47932.25
2021-07-29 09:31:00-04:00,1371.25,1371.25,1370.5,1370.5,3,3,4113.0
2021-07-29 09:33:00-04:00,1367.0,1367.0,1367.0,1367.0,1,1,1367.0
2021-07-29 09:34:00-04:00,1366.0,1366.0,1366.0,1366.0,2,1,2732.0
2021-07-29 09:35:00-04:00,1365.0,1365.0,1364.75,1364.75,4,4,5459.5
2021-07-29 09:36:00-04:00,1364.25,1365.25,1364.25,1365.25,26,4,35486.75
2021-07-29 09:37:00-04:00,1365.0,1365.25,1363.5,1363.5,26,3,35493.0
2021-07-29 09:38:00-04:00,1365.25,1365.75,1365.25,1365.75,27,3,36873.75
2021-07-29 09:39:00-04:00,1366.75,1366.75,1366.75,1366.75,2,1,2733.5
2021-07-29 09:40:00-04:00,1366.75,1367.25,1366.75,1367.25,4,4,5468.25
2021-07-29 09:41:00-04:00,1366.0,1366.0,1365.75,1365.75,2,2,2731.75
2021-07-29 09:42:00-04:00,1366.0,1366.75,1366.0,1366.75,3,2,4098.75
2021-07-29 09:43:00-04:00,1368.0,1368.0,1368.0,1368.0,1,1,1368.0
2021-07-29 09:44:00-04:00,1368.25,1368.25,1368.25,1368.25,1,1,1368.25
2021-07-29 09:45:00-04:00,1369.75,1369.75,1369.75,1369.75,1,1,1369.75
2021-07-29 09:46:00-04:00,1370.75,1370.75,1370.75,1370.75,1,1,1370.75
2021-07-29 09:47:00-04:00,1371.25,1371.75,1371.25,1371.75,5,3,6858.25
2021-07-29 09:48:00-04:00,1371.25,1371.25,1371.25,1371.25,1,1,1371.25
2021-07-29 09:49:00-04:00,1369.5,1369.5,1369.5,1369.5,2,1,2739.0
2021-07-29 09:50:00-04:00,1368.5,1368.5,1368.5,1368.5,1,1,1368.5
2021-07-29 09:51:00-04:00,1369.75,1369.75,1369.75,1369.75,8,7,10958.0
2021-07-29 09:52:00-04:00,1368.25,1368.25,1368.25,1368.25,1,1,1368.25
2021-07-29 09:55:00-04:00,1369.75,1369.75,1369.75,1369.75,2,2,2739.5
2021-07-29 09:56:00-04:00,1369.75,1370.25,1369.75,1370.25,12,6,16438.0
2021-07-29 09:59:00-04:00,1368.0,1368.0,1368.0,1368.0,1,1,1368.0
2021-07-29 10:01:00-04:00,1366.5,1366.5,1366.5,1366.5,1,1,1366.5
2021-07-29 10:07:00-04:00,1369.75,1369.75,1369.75,1369.75,1,1,1369.75
2021-07-29 10:08:00-04:00,1369.75,1369.75,1369.75,1369.75,1,1,1369.75
2021-07-29 10:12:00-04:00,1367.25,1367.25,1367.25,1367.25,1,1,1367.25
2021-07-29 10:13:00-04:00,1367.5,1367.5,1367.5,1367.5,1,1,1367.5
2021-07-29 10:14:00-04:00,1368.75,1369.0,1368.75,1369.0,2,2,2737.75
2021-07-29 10:17:00-04:00,1371.0,1371.25,1371.0,1371.0,5,3,6855.5
2021-07-29 10:18:00-04:00,1371.0,1371.0,1370.5,1370.5,4,2,5483.0
2021-07-29 10:22:00-04:00,1369.25,1369.75,1369.25,1369.75,10,2,13694.5
2021-07-29 10:24:00-04:00,1370.75,1370.75,1370.75,1370.75,2,1,2741.5
2021-07-29 10:25:00-04:00,1371.25,1371.25,1371.25,1371.25,1,1,1371.25
2021-07-29 10:26:00-04:00,1372.0,1372.0,1371.75,1371.75,9,8,12347.75
2021-07-29 10:30:00-04:00,1372.0,1372.0,1371.25,1371.25,5,4,6857.75
2021-07-29 10:32:00-04:00,1372.0,1372.0,1372.0,1372.0,1,1,1372.0
2021-07-29 10:34:00-04:00,1370.25,1370.5,1370.25,1370.5,3,2,4111.25
2021-07-29 10:38:00-04:00,1372.5,1373.5,1372.5,1373.5,6,6,8237.75
2021-07-29 10:41:00-04:00,1373.5,1374.25,1373.5,1374.25,4,4,5495.75
2021-07-29 10:42:00-04:00,1373.25,1373.25,1373.25,1373.25,1,1,1373.25
2021-07-29 10:43:00-04:00,1373.0,1373.0,1373.0,1373.0,1,1,1373.0
2021-07-29 10:47:00-04:00,1371.5,1371.5,1371.5,1371.5,1,1,1371.5
2021-07-29 10:48:00-04:00,1371.75,1371.75,1371.75,1371.75,10,2,13717.5
2021-07-29 10:51:00-04:00,1370.75,1371.0,1370.75,1371.0,2,2,2741.75
2021-07-29 10:52:00-04:00,1369.75,1369.75,1369.75,1369.75,1,1,1369.75
2021-07-29 10:55:00-04:00,1369.5,1369.5,1369.5,1369.5,1,1,1369.5
2021-07-29 10:57:00-04:00,1370.25,1371.0,1370.25,1370.75,6,4,8223.75
2021-07-29 11:02:00-04:00,1372.0,1372.0,1372.0,1372.0,1,1,1372.0
2021-07-29 11:03:00-04:00,1372.0,1372.0,1371.75,1371.75,2,2,2743.75
2021-07-29 11:05:00-04:00,1371.5,1371.5,1371.0,1371.0,8,5,10969.75
2021-07-29 11:06:00-04:00,1370.75,1370.75,1370.5,1370.5,2,2,2741.25
2021-07-29 11:07:00-04:00,1370.25,1370.25,1370.25,1370.25,1,1,1370.25
2021-07-29 11:11:00-04:00,1372.75,1373.0,1372.75,1373.0,3,2,4118.5
2021-07-29 11:12:00-04:00,1373.5,1373.5,1373.5,1373.5,1,1,1373.5
2021-07-29 11:13:00-04:00,1372.75,1372.75,1372.75,1372.75,3,2,4118.25
2021-07-29 11:14:00-04:00,1372.25,1372.25,1372.0,1372.0,7,5,9604.25
2021-07-29 11:16:00-04:00,1371.25,1371.25,1371.0,1371.0,13,3,17824.5
2021-07-29 11:17:00-04:00,1370.75,1370.75,1370.75,1370.75,1,1,1370.75
2021-07-29 11:24:00-04:00,1370.5,1370.5,1369.75,1369.75,6,6,8219.25
2021-07-29 11:25:00-04:00,1370.0,1370.0,1370.0,1370.0,1,1,1370.0
2021-07-29 11:27:00-04:00,1370.0,1370.0,1368.75,1368.75,4,4,5478.0
2021-07-29 11:28:00-04:00,1368.75,1368.75,1368.5,1368.5,2,2,2737.25
2021-07-29 11:30:00-04:00,1369.25,1369.25,1369.25,1369.25,1,1,1369.25
2021-07-29 11:31:00-04:00,1370.75,1370.75,1370.75,1370.75,1,1,1370.75
2021-07-29 11:34:00-04:00,1370.5,1370.5,1370.5,1370.5,2,2,2741.0
2021-07-29 11:35:00-04:00,1370.0,1370.0,1369.0,1369.0,3,2,4108.0
2021-07-29 11:36:00-04:00,1369.25,1369.5,1369.25,1369.5,2,2,2738.75
