,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-20 20:00:00-04:00,1293.0,1299.0,1290.0,1299.0,33,23,42667.0
2021-06-20 20:01:00-04:00,1299.5,1302.0,1299.5,1301.25,19,10,24712.5
2021-06-20 20:02:00-04:00,1301.5,1304.0,1301.5,1302.5,17,11,22149.75
2021-06-20 20:03:00-04:00,1304.0,1305.5,1304.0,1305.5,3,2,3913.5
2021-06-20 20:04:00-04:00,1305.25,1305.25,1305.0,1305.0,4,2,5220.25
2021-06-20 20:05:00-04:00,1305.0,1305.75,1303.25,1303.5,8,6,10432.25
2021-06-20 20:09:00-04:00,1303.0,1303.25,1302.5,1303.25,7,4,9120.5
2021-06-20 20:10:00-04:00,1303.5,1303.5,1303.5,1303.5,1,1,1303.5
2021-06-20 20:11:00-04:00,1302.0,1302.5,1302.0,1302.5,3,3,3906.75
2021-06-20 20:16:00-04:00,1303.5,1303.5,1303.5,1303.5,1,1,1303.5
2021-06-20 20:18:00-04:00,1306.0,1306.0,1306.0,1306.0,3,2,3918.0
2021-06-20 20:20:00-04:00,1307.5,1307.5,1307.5,1307.5,1,1,1307.5
2021-06-20 20:22:00-04:00,1307.25,1307.75,1307.25,1307.75,2,2,2615.0
2021-06-20 20:23:00-04:00,1308.25,1308.25,1308.25,1308.25,2,2,2616.5
2021-06-20 20:24:00-04:00,1306.0,1306.0,1306.0,1306.0,1,1,1306.0
2021-06-20 20:25:00-04:00,1307.5,1307.5,1306.75,1306.75,6,3,7843.5
2021-06-20 20:30:00-04:00,1308.25,1308.25,1308.25,1308.25,1,1,1308.25
2021-06-20 20:34:00-04:00,1309.75,1309.75,1309.75,1309.75,1,1,1309.75
2021-06-20 20:40:00-04:00,1308.5,1308.5,1307.5,1307.5,4,3,5231.0
2021-06-20 20:41:00-04:00,1306.75,1306.75,1306.25,1306.25,3,3,3919.5
2021-06-20 20:47:00-04:00,1305.75,1305.75,1304.75,1304.75,31,11,40469.25
2021-06-20 20:50:00-04:00,1304.0,1304.0,1303.75,1303.75,2,2,2607.75
2021-06-20 20:53:00-04:00,1303.75,1303.75,1303.75,1303.75,2,2,2607.5
2021-06-20 20:55:00-04:00,1304.0,1304.0,1303.75,1303.75,2,2,2607.75
2021-06-20 20:57:00-04:00,1304.25,1304.25,1304.25,1304.25,1,1,1304.25
2021-06-20 20:58:00-04:00,1304.25,1304.25,1304.25,1304.25,1,1,1304.25
2021-06-20 20:59:00-04:00,1304.25,1304.25,1304.25,1304.25,3,3,3912.75
2021-06-20 21:00:00-04:00,1304.0,1304.0,1302.75,1303.0,14,11,18240.5
2021-06-20 21:01:00-04:00,1301.25,1301.25,1299.25,1299.25,16,2,20806.0
2021-06-20 21:02:00-04:00,1298.75,1298.75,1297.25,1297.25,13,10,16873.25
2021-06-20 21:07:00-04:00,1297.25,1297.25,1297.25,1297.25,2,1,2594.5
2021-06-20 21:09:00-04:00,1297.75,1297.75,1297.75,1297.75,1,1,1297.75
2021-06-20 21:11:00-04:00,1298.5,1298.5,1297.75,1297.75,5,5,6490.25
2021-06-20 21:12:00-04:00,1297.75,1297.75,1297.75,1297.75,2,1,2595.5
2021-06-20 21:13:00-04:00,1297.5,1297.5,1297.5,1297.5,1,1,1297.5
2021-06-20 21:15:00-04:00,1297.5,1297.5,1296.75,1296.75,3,3,3891.5
2021-06-20 21:17:00-04:00,1297.0,1297.0,1297.0,1297.0,1,1,1297.0
2021-06-20 21:18:00-04:00,1297.0,1297.0,1296.5,1296.5,5,4,6484.0
2021-06-20 21:19:00-04:00,1296.75,1296.75,1296.75,1296.75,1,1,1296.75
2021-06-20 21:20:00-04:00,1295.75,1296.0,1295.5,1296.0,3,3,3887.25
2021-06-20 21:26:00-04:00,1294.5,1295.75,1294.25,1295.75,7,7,9063.25
2021-06-20 21:27:00-04:00,1296.25,1296.25,1296.25,1296.25,1,1,1296.25
2021-06-20 21:50:00-04:00,1296.0,1296.0,1296.0,1296.0,4,1,5184.0
2021-06-20 21:51:00-04:00,1295.5,1295.5,1295.5,1295.5,3,2,3886.5
2021-06-20 22:09:00-04:00,1297.75,1298.0,1297.75,1298.0,2,2,2595.75
2021-06-20 22:22:00-04:00,1296.5,1296.5,1296.5,1296.5,1,1,1296.5
2021-06-20 22:50:00-04:00,1298.75,1298.75,1298.75,1298.75,1,1,1298.75
2021-06-20 23:17:00-04:00,1297.5,1297.5,1297.5,1297.5,2,2,2595.0
2021-06-20 23:27:00-04:00,1296.5,1296.5,1296.0,1296.0,2,2,2592.5
2021-06-21 00:34:00-04:00,1296.0,1296.0,1296.0,1296.0,6,1,7776.0
