,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-04 11:30:00-04:00,80.22,80.22,80.22,80.22,1,1,80.22
2021-11-04 11:38:00-04:00,80.23,80.23,80.23,80.23,1,1,80.23
2021-11-04 11:55:00-04:00,80.22,80.22,80.22,80.22,3,1,240.66
