,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-03 21:08:00-04:00,80.705,80.705,80.705,80.705,5,3,403.525
2021-11-04 06:42:00-04:00,80.525,80.525,80.525,80.525,2,1,161.05
2021-11-04 09:29:00-04:00,80.485,80.485,80.485,80.485,1,1,80.485
2021-11-04 11:30:00-04:00,80.2,80.2,80.2,80.2,5,1,401.0
2021-11-04 11:53:00-04:00,80.2,80.2,80.2,80.2,2,1,160.4
2021-11-04 12:13:00-04:00,80.31,80.31,80.31,80.31,1,1,80.31
2021-11-04 13:22:00-04:00,80.26,80.26,80.26,80.26,1,1,80.26
2021-11-04 15:18:00-04:00,80.245,80.245,80.245,80.245,1,1,80.245
2021-11-04 15:20:00-04:00,80.25,80.25,80.25,80.25,1,1,80.25
