,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-03 19:10:00-04:00,80.73,80.73,80.73,80.73,2,2,161.46
2021-11-03 19:17:00-04:00,80.72,80.72,80.72,80.72,1,1,80.72
2021-11-03 19:18:00-04:00,80.72,80.72,80.72,80.72,1,1,80.72
2021-11-03 20:05:00-04:00,80.755,80.765,80.755,80.765,2,2,161.52
2021-11-03 21:00:00-04:00,80.7,80.7,80.7,80.7,1,1,80.7
2021-11-03 21:17:00-04:00,80.67,80.67,80.67,80.67,1,1,80.67
2021-11-03 21:18:00-04:00,80.67,80.67,80.67,80.67,2,1,161.34
2021-11-04 00:30:00-04:00,80.665,80.665,80.665,80.665,1,1,80.665
2021-11-04 00:45:00-04:00,80.655,80.655,80.655,80.655,1,1,80.655
2021-11-04 02:39:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-04 02:52:00-04:00,80.595,80.595,80.595,80.595,1,1,80.595
2021-11-04 03:06:00-04:00,80.615,80.615,80.615,80.615,1,1,80.615
2021-11-04 03:08:00-04:00,80.62,80.62,80.62,80.62,1,1,80.62
2021-11-04 04:15:00-04:00,80.6,80.6,80.6,80.6,2,1,161.2
2021-11-04 04:21:00-04:00,80.59,80.595,80.59,80.595,2,2,161.185
2021-11-04 04:49:00-04:00,80.615,80.615,80.615,80.615,1,1,80.615
2021-11-04 05:17:00-04:00,80.59,80.59,80.59,80.59,1,1,80.59
2021-11-04 07:02:00-04:00,80.505,80.505,80.505,80.505,1,1,80.505
2021-11-04 07:04:00-04:00,80.515,80.515,80.515,80.515,2,1,161.03
2021-11-04 07:06:00-04:00,80.51,80.51,80.51,80.51,1,1,80.51
2021-11-04 07:08:00-04:00,80.515,80.515,80.515,80.515,2,1,161.03
2021-11-04 07:22:00-04:00,80.525,80.525,80.525,80.525,1,1,80.525
2021-11-04 07:25:00-04:00,80.52,80.52,80.52,80.52,1,1,80.52
2021-11-04 07:46:00-04:00,80.48,80.48,80.48,80.48,1,1,80.48
2021-11-04 08:01:00-04:00,80.48,80.48,80.48,80.48,1,1,80.48
2021-11-04 08:02:00-04:00,80.45,80.45,80.45,80.45,1,1,80.45
2021-11-04 08:26:00-04:00,80.455,80.455,80.455,80.455,1,1,80.455
2021-11-04 08:37:00-04:00,80.45,80.46,80.45,80.46,2,2,160.91
2021-11-04 08:39:00-04:00,80.465,80.465,80.465,80.465,1,1,80.465
2021-11-04 08:49:00-04:00,80.475,80.475,80.475,80.475,1,1,80.475
2021-11-04 09:21:00-04:00,80.52,80.52,80.495,80.495,13,3,1046.52
2021-11-04 09:22:00-04:00,80.46,80.46,80.455,80.455,15,2,1206.86
2021-11-04 09:23:00-04:00,80.465,80.465,80.465,80.465,1,1,80.465
2021-11-04 09:35:00-04:00,80.48,80.48,80.48,80.48,1,1,80.48
2021-11-04 09:48:00-04:00,80.485,80.485,80.475,80.475,2,2,160.96
2021-11-04 10:01:00-04:00,80.45,80.45,80.45,80.45,1,1,80.45
2021-11-04 10:03:00-04:00,80.43,80.43,80.43,80.43,2,1,160.86
2021-11-04 10:06:00-04:00,80.365,80.365,80.365,80.365,1,1,80.365
2021-11-04 10:20:00-04:00,80.375,80.375,80.375,80.375,1,1,80.375
2021-11-04 10:23:00-04:00,80.355,80.355,80.355,80.355,1,1,80.355
2021-11-04 10:28:00-04:00,80.365,80.365,80.365,80.365,1,1,80.365
2021-11-04 10:39:00-04:00,80.365,80.365,80.365,80.365,6,2,482.19
2021-11-04 10:40:00-04:00,80.385,80.385,80.385,80.385,22,4,1768.47
2021-11-04 10:50:00-04:00,80.31,80.31,80.31,80.31,1,1,80.31
2021-11-04 10:51:00-04:00,80.315,80.315,80.315,80.315,1,1,80.315
2021-11-04 11:03:00-04:00,80.25,80.25,80.25,80.25,1,1,80.25
2021-11-04 11:06:00-04:00,80.25,80.25,80.25,80.25,21,5,1685.25
2021-11-04 11:09:00-04:00,80.27,80.27,80.27,80.27,1,1,80.27
2021-11-04 11:14:00-04:00,80.3,80.3,80.3,80.3,2,1,160.6
2021-11-04 11:16:00-04:00,80.305,80.305,80.305,80.305,1,1,80.305
2021-11-04 11:31:00-04:00,80.195,80.195,80.195,80.195,1,1,80.195
2021-11-04 11:32:00-04:00,80.22,80.22,80.22,80.22,1,1,80.22
2021-11-04 11:33:00-04:00,80.19,80.19,80.19,80.19,1,1,80.19
2021-11-04 11:37:00-04:00,80.21,80.21,80.21,80.21,1,1,80.21
2021-11-04 11:51:00-04:00,80.2,80.2,80.2,80.2,1,1,80.2
2021-11-04 11:52:00-04:00,80.195,80.195,80.195,80.195,1,1,80.195
2021-11-04 11:54:00-04:00,80.195,80.195,80.195,80.195,7,1,561.365
2021-11-04 12:09:00-04:00,80.3,80.3,80.3,80.3,3,2,240.9
2021-11-04 12:10:00-04:00,80.29,80.29,80.29,80.29,2,1,160.58
2021-11-04 12:11:00-04:00,80.3,80.3,80.3,80.3,5,1,401.5
2021-11-04 12:24:00-04:00,80.275,80.275,80.275,80.275,1,1,80.275
2021-11-04 12:29:00-04:00,80.27,80.27,80.27,80.27,1,1,80.27
2021-11-04 12:39:00-04:00,80.26,80.26,80.26,80.26,1,1,80.26
2021-11-04 12:50:00-04:00,80.245,80.245,80.245,80.245,2,1,160.49
2021-11-04 13:28:00-04:00,80.23,80.23,80.23,80.23,2,2,160.46
2021-11-04 13:34:00-04:00,80.235,80.235,80.23,80.23,8,6,641.845
2021-11-04 13:36:00-04:00,80.23,80.23,80.23,80.23,1,1,80.23
