,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-04 09:05:00-04:00,80.35,80.35,80.35,80.35,2,1,160.7
2021-11-04 10:04:00-04:00,80.345,80.345,80.345,80.345,2,1,160.69
2021-11-04 10:10:00-04:00,80.28,80.28,80.28,80.28,1,1,80.28
2021-11-04 10:12:00-04:00,80.34,80.34,80.34,80.34,1,1,80.34
2021-11-04 10:17:00-04:00,80.34,80.34,80.34,80.34,1,1,80.34
2021-11-04 10:35:00-04:00,80.3,80.3,80.3,80.3,2,2,160.6
2021-11-04 10:49:00-04:00,80.23,80.23,80.23,80.23,1,1,80.23
2021-11-04 11:15:00-04:00,80.22,80.22,80.22,80.22,2,2,160.44
2021-11-04 11:35:00-04:00,80.12,80.12,80.12,80.12,1,1,80.12
2021-11-04 12:05:00-04:00,80.2,80.2,80.2,80.2,3,2,240.6
