,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-27 20:00:00-04:00,1286.75,1286.75,1284.5,1285.5,547,183,703278.75
2021-09-27 20:01:00-04:00,1285.25,1286.0,1285.0,1286.0,42,28,53986.25
2021-09-27 20:02:00-04:00,1286.0,1286.25,1284.75,1284.75,47,23,60417.5
2021-09-27 20:03:00-04:00,1284.75,1285.25,1284.5,1284.75,51,20,65528.0
2021-09-27 20:04:00-04:00,1284.5,1284.5,1284.0,1284.5,44,19,56505.5
2021-09-27 20:05:00-04:00,1284.5,1284.5,1284.0,1284.5,127,52,163081.0
2021-09-27 20:06:00-04:00,1284.75,1285.0,1284.75,1284.75,19,12,24412.25
2021-09-27 20:07:00-04:00,1285.0,1285.0,1284.5,1284.5,14,8,17986.75
2021-09-27 20:08:00-04:00,1284.5,1284.5,1284.0,1284.0,21,8,26967.5
2021-09-27 20:09:00-04:00,1284.25,1284.5,1284.0,1284.5,15,5,19263.0
2021-09-27 20:10:00-04:00,1284.75,1285.0,1284.75,1285.0,4,4,5139.25
2021-09-27 20:11:00-04:00,1285.0,1285.0,1284.75,1284.75,13,10,16703.5
2021-09-27 20:12:00-04:00,1285.0,1285.25,1285.0,1285.0,16,13,20560.25
2021-09-27 20:13:00-04:00,1285.0,1285.25,1285.0,1285.25,20,8,25704.5
2021-09-27 20:14:00-04:00,1285.25,1285.5,1285.25,1285.5,53,20,68130.5
2021-09-27 20:16:00-04:00,1285.5,1285.5,1285.5,1285.5,11,9,14140.5
2021-09-27 20:17:00-04:00,1285.75,1285.75,1285.75,1285.75,6,3,7714.5
2021-09-27 20:18:00-04:00,1285.5,1285.5,1285.25,1285.5,14,6,17995.0
2021-09-27 20:19:00-04:00,1285.5,1285.75,1285.5,1285.75,15,8,19284.25
2021-09-27 20:20:00-04:00,1286.0,1286.25,1285.75,1286.0,33,15,42439.75
2021-09-27 20:21:00-04:00,1286.0,1286.25,1286.0,1286.25,16,9,20576.5
2021-09-27 20:22:00-04:00,1286.0,1286.0,1285.5,1285.5,12,8,15428.75
2021-09-27 20:23:00-04:00,1285.5,1285.5,1285.5,1285.5,2,2,2571.0
2021-09-27 20:24:00-04:00,1285.5,1285.75,1285.5,1285.5,7,4,8998.75
