,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-04-27 20:00:00-04:00,1375.75,1376.75,1373.75,1376.0,9,7,12381.75
2021-04-27 20:01:00-04:00,1375.5,1377.0,1375.5,1377.0,4,3,5506.0
2021-04-27 20:03:00-04:00,1374.25,1374.25,1372.75,1372.75,9,7,12356.25
2021-04-27 20:05:00-04:00,1373.5,1373.5,1373.5,1373.5,1,1,1373.5
2021-04-27 20:06:00-04:00,1374.0,1374.0,1374.0,1374.0,1,1,1374.0
2021-04-27 20:07:00-04:00,1375.0,1375.0,1375.0,1375.0,1,1,1375.0
2021-04-27 20:09:00-04:00,1376.0,1376.0,1376.0,1376.0,1,1,1376.0
2021-04-27 20:10:00-04:00,1376.0,1376.0,1376.0,1376.0,1,1,1376.0
2021-04-27 20:15:00-04:00,1376.5,1376.75,1376.5,1376.75,2,2,2753.25
2021-04-27 20:24:00-04:00,1376.25,1376.25,1376.0,1376.0,5,3,6880.5
2021-04-27 20:25:00-04:00,1375.5,1375.5,1375.5,1375.5,1,1,1375.5
2021-04-27 20:27:00-04:00,1374.0,1374.0,1374.0,1374.0,1,1,1374.0
2021-04-27 20:28:00-04:00,1373.75,1373.75,1373.75,1373.75,1,1,1373.75
2021-04-27 20:29:00-04:00,1373.25,1373.25,1371.25,1372.25,4,4,5488.0
2021-04-27 20:31:00-04:00,1371.75,1371.75,1370.25,1371.25,7,5,9598.75
2021-04-27 20:32:00-04:00,1369.25,1369.25,1368.25,1368.25,11,10,15056.75
2021-04-27 20:35:00-04:00,1366.0,1366.0,1366.0,1366.0,1,1,1366.0
2021-04-27 20:37:00-04:00,1365.75,1365.75,1365.75,1365.75,1,1,1365.75
2021-04-27 20:38:00-04:00,1366.75,1367.25,1366.75,1367.25,3,3,4101.0
2021-04-27 20:40:00-04:00,1364.5,1364.5,1363.5,1363.5,21,5,28639.0
2021-04-27 20:41:00-04:00,1364.5,1364.5,1364.5,1364.5,1,1,1364.5
2021-04-27 20:42:00-04:00,1363.5,1363.5,1363.0,1363.0,6,4,8179.25
2021-04-27 20:44:00-04:00,1363.25,1363.25,1362.25,1362.25,3,2,4088.75
2021-04-27 20:45:00-04:00,1363.75,1364.25,1363.75,1364.25,2,2,2728.0
2021-04-27 20:46:00-04:00,1364.25,1364.25,1364.25,1364.25,1,1,1364.25
2021-04-27 20:47:00-04:00,1364.25,1364.25,1364.25,1364.25,1,1,1364.25
2021-04-27 20:52:00-04:00,1361.0,1361.0,1361.0,1361.0,1,1,1361.0
2021-04-27 20:55:00-04:00,1360.0,1360.25,1360.0,1360.25,6,5,8160.25
2021-04-27 20:56:00-04:00,1359.25,1360.25,1359.25,1359.75,4,4,5438.5
2021-04-27 20:59:00-04:00,1359.0,1359.0,1359.0,1359.0,1,1,1359.0
2021-04-27 21:00:00-04:00,1363.0,1363.5,1363.0,1363.25,4,4,5453.0
2021-04-27 21:02:00-04:00,1362.75,1363.0,1362.5,1363.0,4,4,5451.25
2021-04-27 21:04:00-04:00,1365.0,1365.0,1364.25,1364.25,5,5,6823.5
2021-04-27 21:05:00-04:00,1365.0,1365.0,1364.5,1364.5,2,2,2729.5
2021-04-27 21:08:00-04:00,1364.0,1364.0,1362.25,1362.25,5,4,6816.5
2021-04-27 21:12:00-04:00,1363.0,1363.0,1363.0,1363.0,1,1,1363.0
2021-04-27 21:13:00-04:00,1361.75,1361.75,1361.75,1361.75,1,1,1361.75
2021-04-27 21:17:00-04:00,1362.5,1362.5,1362.5,1362.5,2,2,2725.0
2021-04-27 21:18:00-04:00,1361.75,1361.75,1361.0,1361.0,3,3,4084.0
2021-04-27 21:19:00-04:00,1361.75,1362.0,1361.75,1362.0,4,3,5447.75
2021-04-27 21:20:00-04:00,1363.5,1363.75,1363.5,1363.75,2,2,2727.25
2021-04-27 21:21:00-04:00,1364.75,1364.75,1364.75,1364.75,1,1,1364.75
2021-04-27 21:22:00-04:00,1364.75,1364.75,1364.75,1364.75,1,1,1364.75
2021-04-27 21:23:00-04:00,1364.25,1364.25,1363.25,1363.25,3,3,4090.75
2021-04-27 21:25:00-04:00,1363.75,1363.75,1363.75,1363.75,2,2,2727.5
2021-04-27 21:26:00-04:00,1365.75,1366.5,1365.75,1366.5,2,2,2732.25
2021-04-27 21:27:00-04:00,1366.25,1366.5,1366.25,1366.5,2,2,2732.75
2021-04-27 21:29:00-04:00,1366.0,1366.0,1365.5,1365.5,3,3,4097.5
2021-04-27 21:30:00-04:00,1365.75,1365.75,1365.75,1365.75,1,1,1365.75
2021-04-27 21:31:00-04:00,1365.5,1365.5,1365.5,1365.5,1,1,1365.5
2021-04-27 21:33:00-04:00,1365.0,1365.0,1364.0,1364.0,8,7,10918.25
2021-04-27 21:34:00-04:00,1364.5,1364.5,1364.5,1364.5,2,2,2729.0
2021-04-27 21:35:00-04:00,1363.25,1363.25,1363.25,1363.25,1,1,1363.25
2021-04-27 21:37:00-04:00,1363.0,1363.0,1363.0,1363.0,7,4,9541.0
2021-04-27 21:38:00-04:00,1362.25,1362.25,1362.25,1362.25,1,1,1362.25
2021-04-27 21:40:00-04:00,1361.75,1361.75,1361.75,1361.75,2,2,2723.5
2021-04-27 21:44:00-04:00,1363.0,1363.0,1362.5,1362.5,4,4,5450.75
2021-04-27 21:50:00-04:00,1363.25,1363.25,1363.25,1363.25,1,1,1363.25
2021-04-27 21:53:00-04:00,1364.0,1364.0,1364.0,1364.0,1,1,1364.0
2021-04-27 22:00:00-04:00,1363.75,1363.75,1363.75,1363.75,1,1,1363.75
2021-04-27 22:03:00-04:00,1364.25,1364.25,1364.25,1364.25,1,1,1364.25
2021-04-27 22:10:00-04:00,1365.25,1365.25,1365.25,1365.25,1,1,1365.25
2021-04-27 22:11:00-04:00,1365.75,1365.75,1365.75,1365.75,1,1,1365.75
2021-04-27 22:15:00-04:00,1366.5,1366.5,1366.5,1366.5,1,1,1366.5
2021-04-27 22:18:00-04:00,1366.5,1366.75,1366.5,1366.75,2,2,2733.25
2021-04-27 22:27:00-04:00,1367.5,1367.5,1367.5,1367.5,2,2,2735.0
2021-04-27 22:31:00-04:00,1367.0,1367.0,1367.0,1367.0,1,1,1367.0
2021-04-27 22:34:00-04:00,1366.75,1366.75,1366.75,1366.75,1,1,1366.75
2021-04-27 22:38:00-04:00,1368.25,1368.25,1368.25,1368.25,2,2,2736.5
2021-04-27 22:43:00-04:00,1368.75,1369.5,1368.75,1369.5,4,4,5476.5
2021-04-27 22:44:00-04:00,1369.5,1370.0,1369.5,1370.0,7,4,9589.0
2021-04-27 23:05:00-04:00,1368.25,1368.25,1368.25,1368.25,1,1,1368.25
2021-04-27 23:13:00-04:00,1367.75,1367.75,1367.75,1367.75,1,1,1367.75
2021-04-28 00:07:00-04:00,1368.0,1368.0,1368.0,1368.0,3,1,4104.0
2021-04-28 00:08:00-04:00,1368.0,1368.0,1368.0,1368.0,1,1,1368.0
2021-04-28 00:10:00-04:00,1367.25,1367.25,1367.25,1367.25,1,1,1367.25
2021-04-28 01:18:00-04:00,1368.75,1368.75,1368.75,1368.75,1,1,1368.75
2021-04-28 01:42:00-04:00,1368.5,1368.5,1368.5,1368.5,1,1,1368.5
2021-04-28 01:45:00-04:00,1367.25,1367.25,1367.25,1367.25,2,1,2734.5
2021-04-28 01:46:00-04:00,1367.25,1367.25,1367.25,1367.25,2,2,2734.5
2021-04-28 01:47:00-04:00,1366.75,1366.75,1366.75,1366.75,1,1,1366.75
2021-04-28 01:51:00-04:00,1366.5,1366.5,1366.5,1366.5,1,1,1366.5
2021-04-28 02:20:00-04:00,1366.0,1366.0,1366.0,1366.0,2,2,2732.0
2021-04-28 02:26:00-04:00,1364.5,1364.75,1364.5,1364.75,2,2,2729.25
2021-04-28 02:38:00-04:00,1365.75,1365.75,1365.75,1365.75,1,1,1365.75
2021-04-28 02:41:00-04:00,1365.25,1365.25,1365.25,1365.25,1,1,1365.25
2021-04-28 02:42:00-04:00,1365.5,1365.5,1365.5,1365.5,1,1,1365.5
2021-04-28 02:45:00-04:00,1365.5,1365.5,1365.5,1365.5,2,1,2731.0
2021-04-28 02:46:00-04:00,1365.5,1365.5,1365.5,1365.5,2,2,2731.0
2021-04-28 03:03:00-04:00,1366.75,1366.75,1366.75,1366.75,1,1,1366.75
2021-04-28 03:04:00-04:00,1366.0,1366.0,1366.0,1366.0,1,1,1366.0
2021-04-28 03:22:00-04:00,1363.5,1363.5,1363.5,1363.5,1,1,1363.5
2021-04-28 03:24:00-04:00,1362.0,1362.0,1362.0,1362.0,1,1,1362.0
2021-04-28 03:31:00-04:00,1361.75,1361.75,1361.75,1361.75,1,1,1361.75
2021-04-28 03:36:00-04:00,1362.75,1362.75,1362.5,1362.5,2,2,2725.25
2021-04-28 03:52:00-04:00,1361.25,1361.25,1361.25,1361.25,1,1,1361.25
2021-04-28 03:56:00-04:00,1361.25,1361.25,1361.25,1361.25,1,1,1361.25
2021-04-28 04:00:00-04:00,1361.0,1361.0,1361.0,1361.0,1,1,1361.0
2021-04-28 04:01:00-04:00,1360.75,1360.75,1360.75,1360.75,1,1,1360.75
2021-04-28 04:13:00-04:00,1361.75,1361.75,1361.75,1361.75,1,1,1361.75
2021-04-28 04:16:00-04:00,1360.25,1360.25,1360.0,1360.0,2,2,2720.25
2021-04-28 04:17:00-04:00,1360.75,1360.75,1360.75,1360.75,1,1,1360.75
2021-04-28 04:20:00-04:00,1360.75,1361.0,1360.75,1360.75,3,3,4082.5
2021-04-28 04:32:00-04:00,1361.75,1361.75,1361.75,1361.75,1,1,1361.75
2021-04-28 04:34:00-04:00,1361.25,1361.25,1361.25,1361.25,1,1,1361.25
2021-04-28 04:39:00-04:00,1360.5,1360.5,1360.5,1360.5,2,2,2721.0
2021-04-28 04:42:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-04-28 04:43:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-04-28 04:45:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-04-28 04:51:00-04:00,1359.75,1359.75,1359.75,1359.75,1,1,1359.75
2021-04-28 04:56:00-04:00,1359.0,1359.0,1359.0,1359.0,1,1,1359.0
2021-04-28 05:00:00-04:00,1359.75,1359.75,1359.75,1359.75,1,1,1359.75
2021-04-28 05:03:00-04:00,1359.0,1359.0,1359.0,1359.0,2,1,2718.0
2021-04-28 05:04:00-04:00,1360.25,1360.5,1360.25,1360.5,2,2,2720.75
2021-04-28 05:06:00-04:00,1360.0,1360.0,1360.0,1360.0,2,2,2720.0
2021-04-28 05:07:00-04:00,1359.5,1359.5,1359.5,1359.5,1,1,1359.5
2021-04-28 05:08:00-04:00,1359.5,1360.0,1359.5,1359.75,6,3,8158.25
2021-04-28 05:09:00-04:00,1360.25,1360.25,1360.0,1360.0,2,2,2720.25
2021-04-28 05:13:00-04:00,1359.0,1359.0,1359.0,1359.0,1,1,1359.0
2021-04-28 05:16:00-04:00,1357.75,1357.75,1357.75,1357.75,3,2,4073.25
2021-04-28 05:19:00-04:00,1357.25,1357.25,1357.25,1357.25,1,1,1357.25
2021-04-28 05:23:00-04:00,1357.5,1357.5,1357.5,1357.5,1,1,1357.5
2021-04-28 05:24:00-04:00,1357.5,1357.5,1357.5,1357.5,1,1,1357.5
2021-04-28 05:30:00-04:00,1358.0,1358.0,1358.0,1358.0,1,1,1358.0
2021-04-28 05:31:00-04:00,1358.0,1358.0,1358.0,1358.0,1,1,1358.0
2021-04-28 05:33:00-04:00,1358.0,1358.0,1358.0,1358.0,1,1,1358.0
2021-04-28 05:36:00-04:00,1359.0,1359.5,1359.0,1359.5,3,3,4077.75
2021-04-28 05:37:00-04:00,1358.75,1359.5,1358.75,1359.5,3,2,4077.75
2021-04-28 05:39:00-04:00,1360.0,1360.0,1360.0,1360.0,2,1,2720.0
2021-04-28 05:46:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-04-28 05:48:00-04:00,1360.5,1360.5,1360.5,1360.5,1,1,1360.5
2021-04-28 05:53:00-04:00,1359.75,1359.75,1359.75,1359.75,1,1,1359.75
2021-04-28 05:54:00-04:00,1360.25,1360.25,1359.75,1359.75,6,3,8160.25
2021-04-28 06:03:00-04:00,1359.25,1359.25,1359.25,1359.25,1,1,1359.25
2021-04-28 06:08:00-04:00,1360.5,1360.5,1360.5,1360.5,1,1,1360.5
2021-04-28 06:13:00-04:00,1362.0,1362.0,1362.0,1362.0,1,1,1362.0
2021-04-28 06:15:00-04:00,1361.75,1361.75,1361.5,1361.5,2,2,2723.25
2021-04-28 06:16:00-04:00,1362.0,1362.0,1362.0,1362.0,1,1,1362.0
2021-04-28 06:17:00-04:00,1361.75,1361.75,1361.5,1361.5,2,2,2723.25
2021-04-28 06:24:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-04-28 06:25:00-04:00,1359.75,1359.75,1359.75,1359.75,2,2,2719.5
2021-04-28 06:26:00-04:00,1359.75,1359.75,1359.75,1359.75,1,1,1359.75
2021-04-28 06:28:00-04:00,1359.75,1359.75,1359.75,1359.75,3,3,4079.25
2021-04-28 06:29:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-04-28 06:33:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
