,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index
,open,high,low,close,volume,num_trds,value
2021-06-02 18:00:00-04:00,4208.0,4208.25,4206.75,4207.0,445,156,1872351.0
2021-06-02 18:01:00-04:00,4207.25,4207.25,4206.75,4207.0,133,57,559533.0
2021-06-02 18:02:00-04:00,4207.0,4208.25,4207.0,4208.25,159,44,669000.0
2021-06-02 18:03:00-04:00,4208.25,4208.5,4208.25,4208.25,157,71,660712.5
2021-06-02 18:04:00-04:00,4208.0,4208.25,4207.5,4207.75,109,47,458654.5
2021-06-02 18:05:00-04:00,4207.75,4207.75,4207.25,4207.25,45,21,189339.25
2021-06-02 18:06:00-04:00,4207.5,4207.5,4207.0,4207.25,106,25,445959.0
2021-06-02 18:07:00-04:00,4207.25,4207.25,4206.75,4207.0,89,18,374425.25
2021-06-02 18:08:00-04:00,4207.25,4207.5,4207.0,4207.0,53,13,222983.75
2021-06-02 18:09:00-04:00,4207.0,4207.25,4207.0,4207.25,27,9,113590.75
2021-06-02 18:10:00-04:00,4207.25,4207.25,4207.0,4207.0,47,24,197738.25
2021-06-02 18:11:00-04:00,4207.0,4207.0,4206.5,4206.5,110,27,462735.75
2021-06-02 18:12:00-04:00,4206.5,4206.75,4206.5,4206.5,111,38,466927.0
2021-06-02 18:13:00-04:00,4206.75,4206.75,4206.5,4206.75,42,15,176677.25
2021-06-02 18:14:00-04:00,4206.75,4206.75,4206.25,4206.5,234,53,984300.75
2021-06-02 18:15:00-04:00,4206.75,4207.0,4206.75,4207.0,28,11,117792.5
2021-06-02 18:16:00-04:00,4207.0,4207.25,4207.0,4207.25,28,10,117797.75
2021-06-02 18:17:00-04:00,4207.25,4207.25,4207.0,4207.0,46,18,193530.5
2021-06-02 18:18:00-04:00,4207.0,4207.0,4207.0,4207.0,43,11,180901.0
2021-06-02 18:19:00-04:00,4206.75,4207.0,4206.75,4207.0,94,30,395455.75
2021-06-02 18:20:00-04:00,4207.0,4207.0,4206.75,4207.0,36,12,151451.5
2021-06-02 18:21:00-04:00,4207.0,4207.0,4206.75,4206.75,48,23,201929.0
2021-06-02 18:22:00-04:00,4207.0,4207.0,4206.75,4207.0,3,3,12620.75
2021-06-02 18:23:00-04:00,4207.0,4207.0,4206.75,4207.0,22,8,92553.5
2021-06-02 18:24:00-04:00,4207.0,4207.5,4207.0,4207.5,74,24,311345.0
2021-06-02 18:25:00-04:00,4207.5,4207.5,4207.5,4207.5,35,16,147262.5
2021-06-02 18:26:00-04:00,4207.5,4207.5,4206.75,4207.25,111,16,466989.5
2021-06-02 18:27:00-04:00,4207.25,4207.5,4207.25,4207.5,9,6,37867.0
2021-06-02 18:28:00-04:00,4207.5,4207.5,4207.25,4207.25,7,6,29451.75
2021-06-02 18:29:00-04:00,4207.5,4207.75,4207.5,4207.5,48,22,201963.5
2021-06-02 18:30:00-04:00,4207.75,4207.75,4207.5,4207.75,44,11,185140.75
2021-06-02 18:31:00-04:00,4207.75,4207.75,4207.25,4207.5,34,8,143055.25
2021-06-02 18:32:00-04:00,4207.5,4207.5,4207.0,4207.25,49,8,206155.5
2021-06-02 18:33:00-04:00,4207.25,4207.25,4207.0,4207.0,6,6,25243.25
2021-06-02 18:34:00-04:00,4207.25,4207.25,4207.25,4207.25,24,7,100974.0
2021-06-02 18:35:00-04:00,4207.25,4207.25,4206.75,4206.75,44,18,185104.75
2021-06-02 18:36:00-04:00,4207.0,4207.5,4207.0,4207.5,98,27,412318.0
2021-06-02 18:37:00-04:00,4207.25,4207.25,4207.0,4207.25,37,16,155668.0
2021-06-02 18:38:00-04:00,4207.0,4207.25,4206.75,4207.0,72,23,302902.75
2021-06-02 18:39:00-04:00,4207.0,4207.0,4206.5,4206.75,17,8,71514.5
2021-06-02 18:40:00-04:00,4206.5,4206.75,4206.5,4206.75,19,12,79927.5
2021-06-02 18:41:00-04:00,4206.75,4206.75,4206.5,4206.5,61,20,256607.0
2021-06-02 18:42:00-04:00,4206.5,4206.5,4206.25,4206.5,75,21,315475.75
2021-06-02 18:43:00-04:00,4206.25,4206.25,4206.25,4206.25,37,20,155631.25
2021-06-02 18:44:00-04:00,4206.25,4206.75,4206.25,4206.75,47,12,197704.5
2021-06-02 18:45:00-04:00,4206.5,4206.5,4206.25,4206.5,18,7,75716.5
2021-06-02 18:46:00-04:00,4206.5,4206.75,4206.5,4206.75,22,14,92544.5
2021-06-02 18:47:00-04:00,4206.75,4206.75,4206.5,4206.75,39,8,164055.75
2021-06-02 18:48:00-04:00,4206.5,4206.5,4206.25,4206.5,73,30,307063.0
2021-06-02 18:49:00-04:00,4206.25,4206.25,4206.25,4206.25,78,30,328087.5
2021-06-02 18:50:00-04:00,4206.5,4206.5,4206.25,4206.5,21,10,88333.5
2021-06-02 18:51:00-04:00,4206.25,4206.5,4206.25,4206.25,11,8,46269.5
2021-06-02 18:52:00-04:00,4206.5,4206.75,4206.25,4206.75,32,11,134607.75
2021-06-02 18:53:00-04:00,4206.5,4206.75,4206.5,4206.75,24,10,100961.0
2021-06-02 18:54:00-04:00,4206.75,4206.75,4206.5,4206.75,17,8,71514.5
2021-06-02 18:55:00-04:00,4206.75,4206.75,4206.5,4206.75,10,8,42066.75
2021-06-02 18:56:00-04:00,4206.75,4206.75,4206.5,4206.75,48,18,201923.75
2021-06-02 18:57:00-04:00,4206.75,4207.0,4206.75,4207.0,12,5,50482.0
2021-06-02 18:58:00-04:00,4207.0,4207.0,4206.5,4206.75,37,11,155649.75
2021-06-02 18:59:00-04:00,4207.0,4207.0,4206.75,4206.75,5,5,21034.75
2021-06-02 19:00:00-04:00,4207.0,4207.0,4206.75,4206.75,45,21,189304.5
2021-06-02 19:01:00-04:00,4206.75,4207.0,4206.75,4207.0,30,12,126203.0
2021-06-02 19:02:00-04:00,4207.0,4207.25,4206.75,4206.75,49,18,206143.0
2021-06-02 19:03:00-04:00,4206.75,4207.0,4206.5,4206.5,39,11,164059.0
2021-06-02 19:04:00-04:00,4206.5,4206.5,4206.0,4206.25,160,50,672998.75
2021-06-02 19:05:00-04:00,4206.25,4206.75,4206.25,4206.75,51,28,214532.0
2021-06-02 19:06:00-04:00,4207.0,4207.25,4206.75,4207.0,34,20,143038.0
2021-06-02 19:07:00-04:00,4207.0,4207.0,4206.25,4206.25,69,13,290248.5
2021-06-02 19:08:00-04:00,4206.25,4206.5,4206.0,4206.5,36,14,151427.25
2021-06-02 19:09:00-04:00,4206.5,4206.75,4206.5,4206.5,30,9,126197.0
2021-06-02 19:10:00-04:00,4206.75,4206.75,4206.75,4206.75,3,3,12620.25
2021-06-02 19:11:00-04:00,4206.75,4206.75,4206.0,4206.5,55,11,231348.25
2021-06-02 19:12:00-04:00,4206.5,4206.75,4206.5,4206.75,27,10,113577.5
2021-06-02 19:13:00-04:00,4206.75,4206.75,4206.5,4206.5,30,9,126196.75
2021-06-02 19:14:00-04:00,4206.5,4206.5,4206.5,4206.5,33,10,138814.5
2021-06-02 19:15:00-04:00,4206.5,4206.5,4206.25,4206.25,47,12,197698.25
2021-06-02 19:16:00-04:00,4206.25,4206.5,4206.0,4206.25,54,28,227140.5
2021-06-02 19:17:00-04:00,4206.25,4206.5,4206.0,4206.5,42,19,176665.25
2021-06-02 19:18:00-04:00,4206.25,4206.25,4206.0,4206.25,54,24,227137.25
2021-06-02 19:19:00-04:00,4206.25,4206.25,4206.0,4206.0,86,31,361717.75
2021-06-02 19:20:00-04:00,4206.0,4206.25,4206.0,4206.0,20,10,84120.75
2021-06-02 19:21:00-04:00,4206.25,4206.25,4206.0,4206.0,50,11,210311.5
2021-06-02 19:22:00-04:00,4206.0,4206.25,4206.0,4206.0,14,10,58884.5
2021-06-02 19:23:00-04:00,4206.25,4206.75,4206.0,4206.75,140,35,588903.0
2021-06-02 19:24:00-04:00,4206.5,4207.0,4206.25,4206.5,336,67,1413434.0
2021-06-02 19:25:00-04:00,4206.5,4206.5,4206.25,4206.25,7,6,29444.5
2021-06-02 19:26:00-04:00,4206.5,4206.75,4206.25,4206.25,60,32,252390.75
2021-06-02 19:27:00-04:00,4206.5,4206.75,4206.5,4206.75,16,9,67304.75
2021-06-02 19:28:00-04:00,4206.75,4206.75,4206.75,4206.75,3,3,12620.25
2021-06-02 19:29:00-04:00,4206.75,4206.75,4206.5,4206.75,84,18,353358.0
2021-06-02 19:30:00-04:00,4206.75,4207.0,4206.75,4207.0,76,25,319726.5
2021-06-02 19:31:00-04:00,4207.0,4207.0,4206.75,4206.75,39,18,164063.75
2021-06-02 19:32:00-04:00,4207.0,4207.0,4207.0,4207.0,28,12,117796.0
2021-06-02 19:33:00-04:00,4206.75,4207.25,4206.75,4207.25,15,5,63105.0
2021-06-02 19:34:00-04:00,4207.25,4207.5,4207.25,4207.5,67,24,281897.75
2021-06-02 19:35:00-04:00,4207.25,4207.25,4207.0,4207.0,33,16,138838.75
2021-06-02 19:36:00-04:00,4207.25,4207.25,4207.0,4207.25,26,17,109388.25
2021-06-02 19:37:00-04:00,4207.25,4207.25,4207.0,4207.25,15,9,63106.25
2021-06-02 19:38:00-04:00,4207.25,4207.25,4207.0,4207.25,24,14,100973.75
2021-06-02 19:39:00-04:00,4207.25,4207.25,4207.0,4207.25,46,18,193533.0
2021-06-02 19:40:00-04:00,4207.25,4207.5,4207.0,4207.5,55,26,231405.5
