,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-31 20:00:00-04:00,1388.25,1390.75,1386.75,1390.75,14,8,19433.25
2021-05-31 20:02:00-04:00,1388.25,1388.5,1388.25,1388.5,2,2,2776.75
2021-05-31 20:03:00-04:00,1386.0,1386.0,1386.0,1386.0,1,1,1386.0
2021-05-31 20:04:00-04:00,1385.25,1385.25,1384.75,1384.75,6,2,8309.0
2021-05-31 20:05:00-04:00,1384.25,1384.25,1384.25,1384.25,2,1,2768.5
2021-05-31 20:18:00-04:00,1384.25,1384.25,1384.25,1384.25,1,1,1384.25
2021-05-31 20:19:00-04:00,1385.25,1385.25,1385.25,1385.25,1,1,1385.25
2021-05-31 20:27:00-04:00,1383.0,1383.0,1383.0,1383.0,1,1,1383.0
2021-05-31 20:56:00-04:00,1387.0,1387.0,1387.0,1387.0,12,2,16644.0
2021-05-31 21:05:00-04:00,1387.0,1387.0,1387.0,1387.0,1,1,1387.0
2021-05-31 21:07:00-04:00,1387.25,1387.25,1387.25,1387.25,1,1,1387.25
2021-05-31 21:40:00-04:00,1389.75,1389.75,1389.75,1389.75,1,1,1389.75
2021-05-31 21:42:00-04:00,1389.75,1389.75,1389.75,1389.75,14,1,19456.5
2021-05-31 21:46:00-04:00,1389.75,1389.75,1389.75,1389.75,1,1,1389.75
2021-05-31 22:49:00-04:00,1386.75,1386.75,1386.75,1386.75,1,1,1386.75
2021-06-01 00:30:00-04:00,1386.75,1386.75,1386.75,1386.75,1,1,1386.75
2021-06-01 00:39:00-04:00,1387.0,1387.0,1387.0,1387.0,1,1,1387.0
2021-06-01 00:51:00-04:00,1387.0,1387.0,1387.0,1387.0,1,1,1387.0
2021-06-01 01:03:00-04:00,1386.5,1386.5,1386.5,1386.5,2,2,2773.0
2021-06-01 01:23:00-04:00,1385.5,1385.5,1385.5,1385.5,3,1,4156.5
2021-06-01 04:05:00-04:00,1387.0,1387.0,1387.0,1387.0,3,1,4161.0
2021-06-01 04:38:00-04:00,1385.25,1385.25,1385.25,1385.25,2,1,2770.5
2021-06-01 04:40:00-04:00,1385.75,1385.75,1385.75,1385.75,1,1,1385.75
2021-06-01 04:46:00-04:00,1385.5,1385.5,1385.5,1385.5,1,1,1385.5
2021-06-01 05:12:00-04:00,1385.5,1385.5,1385.5,1385.5,1,1,1385.5
2021-06-01 05:42:00-04:00,1385.75,1385.75,1385.75,1385.75,2,1,2771.5
2021-06-01 05:43:00-04:00,1385.75,1385.75,1385.75,1385.75,3,2,4157.25
2021-06-01 05:44:00-04:00,1385.75,1385.75,1385.75,1385.75,5,3,6928.75
2021-06-01 05:55:00-04:00,1384.25,1384.25,1384.25,1384.25,2,1,2768.5
2021-06-01 06:05:00-04:00,1383.5,1383.5,1383.5,1383.5,2,1,2767.0
2021-06-01 06:06:00-04:00,1383.25,1383.25,1383.25,1383.25,16,3,22132.0
2021-06-01 06:26:00-04:00,1383.0,1383.0,1383.0,1383.0,1,1,1383.0
2021-06-01 06:28:00-04:00,1383.5,1383.5,1383.5,1383.5,2,1,2767.0
2021-06-01 06:32:00-04:00,1383.5,1383.5,1383.5,1383.5,2,1,2767.0
2021-06-01 06:42:00-04:00,1384.75,1384.75,1384.75,1384.75,2,1,2769.5
2021-06-01 06:49:00-04:00,1384.75,1384.75,1384.75,1384.75,1,1,1384.75
2021-06-01 07:13:00-04:00,1385.5,1385.5,1385.5,1385.5,1,1,1385.5
2021-06-01 07:36:00-04:00,1389.0,1389.0,1389.0,1389.0,1,1,1389.0
2021-06-01 07:38:00-04:00,1388.75,1388.75,1388.0,1388.0,5,3,6941.5
2021-06-01 07:52:00-04:00,1390.0,1390.0,1390.0,1390.0,1,1,1390.0
2021-06-01 07:54:00-04:00,1390.0,1391.5,1390.0,1391.5,13,9,18085.75
2021-06-01 07:56:00-04:00,1392.0,1392.5,1392.0,1392.5,20,12,27843.5
2021-06-01 07:58:00-04:00,1392.25,1393.0,1392.25,1393.0,6,5,8354.75
2021-06-01 07:59:00-04:00,1392.5,1392.5,1392.5,1392.5,1,1,1392.5
2021-06-01 08:00:00-04:00,1392.75,1395.0,1392.75,1394.25,23,10,32060.5
2021-06-01 08:01:00-04:00,1395.0,1395.0,1395.0,1395.0,1,1,1395.0
2021-06-01 08:02:00-04:00,1394.0,1394.25,1394.0,1394.25,4,3,5576.25
2021-06-01 08:04:00-04:00,1394.5,1394.5,1394.5,1394.5,1,1,1394.5
2021-06-01 08:05:00-04:00,1394.5,1394.5,1394.5,1394.5,3,2,4183.5
