,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-08 23:40:00-04:00,79.73,79.73,79.73,79.73,1,1,79.73
2021-07-09 08:47:00-04:00,80.055,80.055,80.055,80.055,1,1,80.055
2021-07-09 09:52:00-04:00,80.07,80.09,80.07,80.09,5,5,400.42
2021-07-09 10:47:00-04:00,80.06,80.06,80.06,80.06,1,1,80.06
2021-07-09 15:51:00-04:00,80.3,80.3,80.3,80.3,3,1,240.9
