,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index,ESU1 Index
,open,high,low,close,volume,num_trds,value
2021-06-30 18:00:00-04:00,4294.25,4294.5,4293.0,4294.0,800,183,3435165.0
2021-06-30 18:01:00-04:00,4294.0,4295.75,4294.0,4295.5,600,178,2576927.0
2021-06-30 18:02:00-04:00,4295.25,4295.5,4294.75,4295.25,225,88,966403.0
2021-06-30 18:03:00-04:00,4295.25,4295.25,4294.5,4294.75,146,42,627061.25
2021-06-30 18:04:00-04:00,4294.75,4295.0,4294.25,4295.0,181,37,777343.75
2021-06-30 18:05:00-04:00,4294.75,4294.75,4294.0,4294.0,160,50,687083.25
2021-06-30 18:06:00-04:00,4294.0,4294.25,4293.5,4293.5,179,84,768589.75
2021-06-30 18:07:00-04:00,4293.5,4294.0,4293.5,4294.0,41,13,176044.5
2021-06-30 18:08:00-04:00,4294.0,4294.0,4293.75,4293.75,80,25,343508.75
2021-06-30 18:09:00-04:00,4293.75,4294.0,4293.75,4294.0,16,4,68702.5
2021-06-30 18:10:00-04:00,4294.0,4294.25,4294.0,4294.25,82,34,352124.5
2021-06-30 18:11:00-04:00,4294.25,4294.25,4294.0,4294.0,33,11,141703.75
2021-06-30 18:12:00-04:00,4294.0,4294.0,4293.75,4293.75,219,76,940342.75
2021-06-30 18:13:00-04:00,4293.75,4294.0,4293.75,4294.0,31,13,133107.25
2021-06-30 18:14:00-04:00,4294.0,4294.25,4293.75,4294.0,81,29,347813.25
2021-06-30 18:15:00-04:00,4294.0,4294.0,4293.75,4294.0,80,33,343519.25
2021-06-30 18:16:00-04:00,4294.0,4294.0,4293.75,4293.75,44,18,188930.5
2021-06-30 18:17:00-04:00,4294.0,4294.0,4294.0,4294.0,24,8,103056.0
2021-06-30 18:18:00-04:00,4294.25,4294.25,4293.75,4293.75,128,28,549632.25
2021-06-30 18:19:00-04:00,4293.75,4293.75,4293.25,4293.75,133,45,571035.75
2021-06-30 18:20:00-04:00,4293.75,4294.0,4293.5,4293.75,52,22,223276.25
2021-06-30 18:21:00-04:00,4293.75,4293.75,4293.75,4293.75,23,7,98756.25
2021-06-30 18:22:00-04:00,4293.75,4294.0,4293.75,4294.0,54,16,231872.0
2021-06-30 18:23:00-04:00,4294.0,4294.0,4294.0,4294.0,23,3,98762.0
2021-06-30 18:24:00-04:00,4294.0,4294.0,4293.75,4294.0,75,28,322041.75
2021-06-30 18:25:00-04:00,4294.0,4294.0,4294.0,4294.0,3,2,12882.0
2021-06-30 18:26:00-04:00,4294.0,4294.5,4294.0,4294.5,115,56,493856.5
2021-06-30 18:27:00-04:00,4294.5,4294.75,4294.25,4294.5,36,17,154602.75
2021-06-30 18:28:00-04:00,4294.25,4294.5,4294.25,4294.25,26,10,111655.75
2021-06-30 18:29:00-04:00,4294.25,4294.25,4294.0,4294.25,26,17,111650.0
2021-06-30 18:30:00-04:00,4294.5,4294.5,4294.25,4294.5,29,17,124540.25
2021-06-30 18:31:00-04:00,4294.5,4294.75,4294.25,4294.25,47,18,201842.0
2021-06-30 18:32:00-04:00,4294.25,4294.5,4294.25,4294.5,18,12,77296.75
2021-06-30 18:33:00-04:00,4294.25,4294.25,4294.0,4294.0,52,12,223296.5
2021-06-30 18:34:00-04:00,4294.25,4294.25,4294.0,4294.25,16,12,68706.25
2021-06-30 18:35:00-04:00,4294.25,4294.5,4294.25,4294.25,29,14,124535.0
2021-06-30 18:36:00-04:00,4294.25,4294.5,4294.25,4294.5,28,8,120245.25
2021-06-30 18:37:00-04:00,4294.5,4294.5,4294.5,4294.5,22,4,94479.0
