,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-08-01 20:51:00-04:00,1346.0,1346.0,1346.0,1346.0,2,1,2692.0
2021-08-02 01:03:00-04:00,1343.25,1343.25,1343.25,1343.25,1,1,1343.25
2021-08-02 01:05:00-04:00,1343.0,1343.0,1343.0,1343.0,1,1,1343.0
2021-08-02 01:07:00-04:00,1343.25,1343.25,1343.25,1343.25,1,1,1343.25
2021-08-02 01:15:00-04:00,1341.0,1341.0,1341.0,1341.0,1,1,1341.0
2021-08-02 01:37:00-04:00,1340.75,1340.75,1340.75,1340.75,1,1,1340.75
2021-08-02 01:51:00-04:00,1341.25,1341.25,1341.25,1341.25,1,1,1341.25
2021-08-02 02:11:00-04:00,1341.5,1341.5,1341.5,1341.5,1,1,1341.5
2021-08-02 02:14:00-04:00,1340.75,1340.75,1340.75,1340.75,1,1,1340.75
2021-08-02 02:16:00-04:00,1341.25,1341.25,1341.25,1341.25,1,1,1341.25
2021-08-02 02:22:00-04:00,1340.75,1340.75,1340.75,1340.75,1,1,1340.75
2021-08-02 02:36:00-04:00,1341.75,1341.75,1341.75,1341.75,1,1,1341.75
2021-08-02 02:49:00-04:00,1341.5,1341.5,1341.5,1341.5,1,1,1341.5
2021-08-02 02:51:00-04:00,1340.5,1340.5,1340.5,1340.5,1,1,1340.5
2021-08-02 03:03:00-04:00,1342.5,1342.5,1342.5,1342.5,2,2,2685.0
2021-08-02 03:11:00-04:00,1341.5,1341.5,1341.5,1341.5,1,1,1341.5
2021-08-02 03:12:00-04:00,1341.5,1341.5,1341.5,1341.5,2,1,2683.0
2021-08-02 03:26:00-04:00,1342.0,1342.0,1342.0,1342.0,1,1,1342.0
2021-08-02 03:32:00-04:00,1341.0,1341.0,1341.0,1341.0,1,1,1341.0
2021-08-02 03:36:00-04:00,1341.25,1341.25,1341.25,1341.25,2,2,2682.5
2021-08-02 03:53:00-04:00,1340.0,1340.0,1340.0,1340.0,1,1,1340.0
2021-08-02 04:01:00-04:00,1337.25,1337.25,1337.25,1337.25,1,1,1337.25
2021-08-02 04:08:00-04:00,1337.5,1337.5,1337.5,1337.5,2,1,2675.0
2021-08-02 04:18:00-04:00,1337.75,1337.75,1337.75,1337.75,2,2,2675.5
2021-08-02 04:28:00-04:00,1337.25,1337.25,1337.0,1337.0,11,6,14709.5
2021-08-02 04:39:00-04:00,1337.25,1337.25,1337.25,1337.25,1,1,1337.25
2021-08-02 04:58:00-04:00,1336.5,1336.5,1336.5,1336.5,1,1,1336.5
2021-08-02 05:11:00-04:00,1338.25,1338.25,1338.25,1338.25,1,1,1338.25
2021-08-02 05:43:00-04:00,1337.25,1337.25,1337.25,1337.25,1,1,1337.25
2021-08-02 05:50:00-04:00,1337.75,1337.75,1337.75,1337.75,2,1,2675.5
2021-08-02 06:49:00-04:00,1341.75,1341.75,1341.75,1341.75,1,1,1341.75
2021-08-02 07:01:00-04:00,1340.75,1340.75,1340.75,1340.75,1,1,1340.75
2021-08-02 07:11:00-04:00,1339.5,1339.5,1339.5,1339.5,1,1,1339.5
2021-08-02 07:15:00-04:00,1338.5,1338.5,1338.5,1338.5,2,2,2677.0
2021-08-02 07:23:00-04:00,1340.25,1340.25,1340.25,1340.25,1,1,1340.25
2021-08-02 07:31:00-04:00,1338.5,1338.5,1338.5,1338.5,1,1,1338.5
2021-08-02 07:32:00-04:00,1337.75,1337.75,1337.75,1337.75,1,1,1337.75
2021-08-02 07:33:00-04:00,1337.75,1337.75,1337.75,1337.75,1,1,1337.75
2021-08-02 07:42:00-04:00,1335.75,1335.75,1335.0,1335.0,10,6,13351.75
2021-08-02 07:43:00-04:00,1334.25,1334.25,1334.25,1334.25,1,1,1334.25
2021-08-02 07:50:00-04:00,1333.5,1333.5,1333.5,1333.5,1,1,1333.5
2021-08-02 08:04:00-04:00,1335.0,1335.0,1335.0,1335.0,1,1,1335.0
2021-08-02 08:34:00-04:00,1336.0,1336.0,1336.0,1336.0,1,1,1336.0
2021-08-02 08:39:00-04:00,1337.5,1337.5,1337.5,1337.5,10,3,13375.0
2021-08-02 08:40:00-04:00,1338.25,1338.25,1338.25,1338.25,6,2,8029.5
