,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-08-01 20:02:00-04:00,1419.25,1420.25,1419.25,1420.25,2,2,2839.5
2021-08-01 22:20:00-04:00,1409.25,1409.25,1409.25,1409.25,1,1,1409.25
2021-08-01 23:14:00-04:00,1412.0,1412.0,1412.0,1412.0,1,1,1412.0
2021-08-01 23:15:00-04:00,1412.75,1412.75,1412.75,1412.75,1,1,1412.75
2021-08-01 23:16:00-04:00,1412.25,1412.25,1412.25,1412.25,1,1,1412.25
2021-08-01 23:17:00-04:00,1412.25,1412.25,1412.25,1412.25,1,1,1412.25
2021-08-01 23:24:00-04:00,1415.75,1416.0,1415.75,1416.0,4,4,5663.75
2021-08-02 03:55:00-04:00,1409.25,1409.25,1409.25,1409.25,4,2,5637.0
2021-08-02 03:59:00-04:00,1408.0,1408.0,1408.0,1408.0,2,2,2816.0
2021-08-02 04:58:00-04:00,1408.0,1408.0,1408.0,1408.0,3,1,4224.0
2021-08-02 07:48:00-04:00,1404.5,1404.5,1404.5,1404.5,1,1,1404.5
2021-08-02 08:21:00-04:00,1404.0,1404.0,1404.0,1404.0,1,1,1404.0
2021-08-02 09:30:00-04:00,1409.75,1410.0,1409.75,1410.0,13,2,18329.75
2021-08-02 09:33:00-04:00,1410.5,1412.25,1410.0,1412.25,3,3,4232.75
2021-08-02 09:38:00-04:00,1411.5,1411.5,1410.0,1410.0,8,2,11281.5
2021-08-02 09:39:00-04:00,1410.0,1410.0,1410.0,1410.0,6,2,8460.0
2021-08-02 09:40:00-04:00,1410.0,1410.0,1410.0,1410.0,8,4,11280.0
2021-08-02 09:41:00-04:00,1410.0,1410.0,1410.0,1410.0,8,4,11280.0
2021-08-02 09:42:00-04:00,1410.0,1410.0,1410.0,1410.0,5,1,7050.0
2021-08-02 09:44:00-04:00,1410.0,1410.0,1410.0,1410.0,4,2,5640.0
2021-08-02 09:54:00-04:00,1404.5,1404.5,1404.5,1404.5,1,1,1404.5
2021-08-02 10:02:00-04:00,1405.0,1405.0,1405.0,1405.0,1,1,1405.0
2021-08-02 10:03:00-04:00,1404.75,1404.75,1404.75,1404.75,1,1,1404.75
2021-08-02 10:10:00-04:00,1407.75,1407.75,1407.75,1407.75,1,1,1407.75
2021-08-02 10:12:00-04:00,1409.0,1412.5,1409.0,1412.5,51,11,71995.5
2021-08-02 10:14:00-04:00,1409.0,1409.0,1409.0,1409.0,1,1,1409.0
2021-08-02 10:15:00-04:00,1409.0,1409.0,1409.0,1409.0,1,1,1409.0
2021-08-02 10:16:00-04:00,1409.0,1409.0,1409.0,1409.0,3,2,4227.0
2021-08-02 10:19:00-04:00,1409.0,1409.0,1409.0,1409.0,2,1,2818.0
2021-08-02 10:25:00-04:00,1409.0,1409.0,1409.0,1409.0,12,10,16908.0
2021-08-02 10:28:00-04:00,1409.0,1409.0,1409.0,1409.0,18,14,25362.0
2021-08-02 10:31:00-04:00,1409.0,1409.0,1409.0,1409.0,2,2,2818.0
2021-08-02 10:38:00-04:00,1407.0,1407.0,1407.0,1407.0,3,1,4221.0
2021-08-02 10:39:00-04:00,1408.0,1408.0,1408.0,1408.0,1,1,1408.0
2021-08-02 10:42:00-04:00,1407.0,1407.0,1407.0,1407.0,4,3,5628.0
2021-08-02 10:45:00-04:00,1407.0,1407.0,1407.0,1407.0,8,3,11256.0
2021-08-02 10:51:00-04:00,1407.0,1407.75,1407.0,1407.75,4,3,5630.25
2021-08-02 11:23:00-04:00,1414.25,1414.25,1414.25,1414.25,2,1,2828.5
2021-08-02 11:25:00-04:00,1416.5,1416.5,1416.5,1416.5,1,1,1416.5
2021-08-02 11:30:00-04:00,1419.0,1419.0,1419.0,1419.0,12,3,17028.0
2021-08-02 11:36:00-04:00,1421.0,1421.0,1421.0,1421.0,1,1,1421.0
2021-08-02 11:38:00-04:00,1419.0,1419.0,1419.0,1419.0,6,1,8514.0
2021-08-02 11:50:00-04:00,1421.0,1421.0,1421.0,1421.0,1,1,1421.0
2021-08-02 12:02:00-04:00,1416.25,1416.25,1416.25,1416.25,1,1,1416.25
2021-08-02 12:08:00-04:00,1414.0,1414.0,1414.0,1414.0,50,3,70700.0
2021-08-02 12:17:00-04:00,1414.0,1414.0,1413.5,1413.5,2,2,2827.5
2021-08-02 12:44:00-04:00,1421.5,1421.5,1421.5,1421.5,1,1,1421.5
2021-08-02 12:53:00-04:00,1421.0,1421.0,1421.0,1421.0,1,1,1421.0
2021-08-02 12:59:00-04:00,1423.25,1423.5,1423.25,1423.5,15,9,21351.25
2021-08-02 13:11:00-04:00,1423.5,1423.5,1423.5,1423.5,5,5,7117.5
2021-08-02 13:12:00-04:00,1423.25,1423.25,1423.25,1423.25,5,5,7116.25
2021-08-02 13:14:00-04:00,1424.25,1424.25,1424.0,1424.0,10,2,14241.25
