,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-24 19:37:00-04:00,80.75,80.75,80.75,80.75,1,1,80.75
2021-10-25 09:10:00-04:00,80.78,80.795,80.78,80.795,6,2,484.695
2021-10-25 09:49:00-04:00,80.695,80.695,80.695,80.695,2,1,161.39
2021-10-25 11:39:00-04:00,80.735,80.735,80.735,80.735,1,1,80.735
2021-10-25 12:06:00-04:00,80.745,80.745,80.745,80.745,2,1,161.49
2021-10-25 12:14:00-04:00,80.7,80.7,80.7,80.7,3,1,242.1
2021-10-25 12:28:00-04:00,80.695,80.695,80.68,80.68,11,2,887.57
2021-10-25 12:45:00-04:00,80.645,80.645,80.645,80.645,2,1,161.29
2021-10-25 13:45:00-04:00,80.665,80.665,80.665,80.665,1,1,80.665
