,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-24 22:52:00-04:00,80.955,80.955,80.955,80.955,1,1,80.955
2021-10-25 05:03:00-04:00,81.0,81.005,81.0,81.005,12,3,972.015
2021-10-25 06:25:00-04:00,80.91,80.91,80.91,80.91,2,1,161.82
2021-10-25 08:45:00-04:00,80.845,80.845,80.845,80.845,1,1,80.845
2021-10-25 09:59:00-04:00,80.835,80.835,80.835,80.835,1,1,80.835
2021-10-25 10:14:00-04:00,80.83,80.83,80.83,80.83,1,1,80.83
2021-10-25 10:15:00-04:00,80.845,80.845,80.845,80.845,1,1,80.845
2021-10-25 12:04:00-04:00,80.77,80.77,80.77,80.77,1,1,80.77
2021-10-25 12:26:00-04:00,80.75,80.75,80.75,80.75,1,1,80.75
2021-10-25 12:33:00-04:00,80.675,80.675,80.675,80.675,1,1,80.675
2021-10-25 14:27:00-04:00,80.755,80.755,80.755,80.755,1,1,80.755
2021-10-25 14:30:00-04:00,80.76,80.76,80.76,80.76,10,4,807.6
2021-10-25 14:35:00-04:00,80.73,80.73,80.73,80.73,1,1,80.73
